"TargetGroup","FirstDose","SecondDose","Population","Denominator","Country","ReportingCountry","minAge","maxAge","ageWidth","YearWeekISO"
"Age60_69",355,0,2794090,351248,"Lithuania","LT",60,69,10,"2020-W52"
"Age70_79",27,0,2794090,236890,"Lithuania","LT",70,79,10,"2020-W52"
"Age80+",0,0,2794090,164546,"Lithuania","LT",80,100,21,"2020-W52"
"Age10_14",0,0,626108,33101,"Luxembourg","LU",10,14,5,"2020-W52"
"Age15_17",0,0,626108,19462,"Luxembourg","LU",15,17,3,"2020-W52"
"Age18_24",0,0,626108,52409,"Luxembourg","LU",18,24,7,"2020-W52"
"Age25_49",0,0,626108,239349,"Luxembourg","LU",25,49,25,"2020-W52"
"Age50_59",0,0,626108,89549,"Luxembourg","LU",50,59,10,"2020-W52"
"Age60_69",0,0,626108,61985,"Luxembourg","LU",60,69,10,"2020-W52"
"Age70_79",0,0,626108,38352,"Luxembourg","LU",70,79,10,"2020-W52"
"Age80+",0,0,626108,24925,"Luxembourg","LU",80,100,21,"2020-W52"
"Age10_14",0,0,1907675,102501,"Latvia","LV",10,14,5,"2020-W52"
"Age15_17",0,0,1907675,54269,"Latvia","LV",15,17,3,"2020-W52"
"Age18_24",0,0,1907675,119249,"Latvia","LV",18,24,7,"2020-W52"
"Age25_49",0,0,1907675,639712,"Latvia","LV",25,49,25,"2020-W52"
"Age50_59",0,0,1907675,265997,"Latvia","LV",50,59,10,"2020-W52"
"Age60_69",0,0,1907675,241651,"Latvia","LV",60,69,10,"2020-W52"
"Age70_79",0,0,1907675,170557,"Latvia","LV",70,79,10,"2020-W52"
"Age80+",0,0,1907675,111052,"Latvia","LV",80,100,21,"2020-W52"
"Age<18",0,0,514564,81948,"Malta","MT",0,17,18,"2020-W52"
"Age18_24",3,0,514564,42136,"Malta","MT",18,24,7,"2020-W52"
"Age25_49",34,0,514564,205154,"Malta","MT",25,49,25,"2020-W52"
"Age50_59",16,0,514564,59168,"Malta","MT",50,59,10,"2020-W52"
"Age60_69",4,0,514564,59551,"Malta","MT",60,69,10,"2020-W52"
"Age70_79",0,0,514564,44918,"Malta","MT",70,79,10,"2020-W52"
"Age80+",0,0,514564,21689,"Malta","MT",80,100,21,"2020-W52"
"Age<18",0,0,5367580,1118608,"Norway","NO",0,17,18,"2020-W52"
"Age18_24",3,0,5367580,470970,"Norway","NO",18,24,7,"2020-W52"
"Age25_49",31,0,5367580,1825133,"Norway","NO",25,49,25,"2020-W52"
"Age50_59",5,0,5367580,703830,"Norway","NO",50,59,10,"2020-W52"
"Age60_69",13,0,5367580,582495,"Norway","NO",60,69,10,"2020-W52"
"Age70_79",9,0,5367580,435834,"Norway","NO",70,79,10,"2020-W52"
"Age80+",1,0,5367580,230710,"Norway","NO",80,100,21,"2020-W52"
"Age0_4",0,0,37958138,NA,"Poland","PL",0,4,5,"2020-W52"
"Age10_14",0,0,37958138,1998280,"Poland","PL",10,14,5,"2020-W52"
"Age15_17",1,0,37958138,1051166,"Poland","PL",15,17,3,"2020-W52"
"Age18_24",43,0,37958138,2754264,"Poland","PL",18,24,7,"2020-W52"
"Age25_49",1118,0,37958138,14035724,"Poland","PL",25,49,25,"2020-W52"
"Age5_9",0,0,37958138,NA,"Poland","PL",5,9,5,"2020-W52"
"Age50_59",662,0,37958138,4606379,"Poland","PL",50,59,10,"2020-W52"
"Age60_69",337,0,37958138,5179612,"Poland","PL",60,69,10,"2020-W52"
"Age70_79",53,0,37958138,2783163,"Poland","PL",70,79,10,"2020-W52"
"Age80+",2,0,37958138,1685759,"Poland","PL",80,100,21,"2020-W52"
"Age<18",0,0,10295909,1717050,"Portugal","PT",0,17,18,"2020-W52"
"Age18_24",173,0,10295909,775701,"Portugal","PT",18,24,7,"2020-W52"
"Age25_49",3264,1,10295909,3360653,"Portugal","PT",25,49,25,"2020-W52"
"Age50_59",1108,0,10295909,1485319,"Portugal","PT",50,59,10,"2020-W52"
"Age60_69",568,0,10295909,1299674,"Portugal","PT",60,69,10,"2020-W52"
