CODGEO;LIBGEO;MED14
01334;Saint-André-d'Huiriat;22603,0
01335;Saint-André-le-Bouchoux;20902,0
01336;Saint-André-sur-Vieux-Jonc;21087,0
01337;Saint-Bénigne;21339,0
01338;Saint-Benoît;20282,6
01339;Saint-Bernard;27924,3
01340;Saint-Bois;22341,6
01341;Saint-Champ;22520,0
01342;Sainte-Croix;24541,3
01343;Saint-Cyr-sur-Menthon;20802,4
01344;Saint-Denis-lès-Bourg;23351,5
01345;Saint-Denis-en-Bugey;20805,3
01346;Saint-Didier-d'Aussiat;20455,7
01347;Saint-Didier-de-Formans;25717,6
01348;Saint-Didier-sur-Chalaronne;20994,0
01349;Saint-Éloi;24888,1
01350;Saint-Étienne-du-Bois;21421,0
01351;Saint-Étienne-sur-Chalaronne;20577,1
01352;Saint-Étienne-sur-Reyssouze;19287,5
01353;Sainte-Euphémie;24483,3
01354;Saint-Genis-Pouilly;28031,0
01355;Saint-Genis-sur-Menthon;22185,7
01356;Saint-Georges-sur-Renon;22595,7
01357;Saint-Germain-de-Joux;18172,9
01358;Saint-Germain-les-Paroisses;21450,4
01359;Saint-Germain-sur-Renon;24415,0
01360;Saint-Jean-de-Gonville;34846,0
01361;Saint-Jean-de-Niost;24904,4
01362;Saint-Jean-de-Thurigneux;25185,2
01363;Saint-Jean-le-Vieux;21755,3
01364;Saint-Jean-sur-Reyssouze;20774,8
01365;Saint-Jean-sur-Veyle;21324,0
01366;Sainte-Julie;22642,4
01367;Saint-Julien-sur-Reyssouze;19508,0
01368;Saint-Julien-sur-Veyle;21304,0
01369;Saint-Just;23588,0
01370;Saint-Laurent-sur-Saône;17818,0
01371;Saint-Marcel;22037,6
01372;Saint-Martin-de-Bavel;22492,0
01373;Saint-Martin-du-Frêne;21209,5
01374;Saint-Martin-du-Mont;22238,1
01375;Saint-Martin-le-Châtel;21188,0
01376;Saint-Maurice-de-Beynost;20774,0
01378;Saint-Maurice-de-Gourdans;25080,0
01379;Saint-Maurice-de-Rémens;19939,6
01380;Saint-Nizier-le-Bouchoux;19473,3
01381;Saint-Nizier-le-Désert;20649,6
01382;Sainte-Olive;25235,6
01383;Saint-Paul-de-Varax;20710,7
01384;Saint-Rambert-en-Bugey;17884,2
01385;Saint-Rémy;23058,0
01386;Saint-Sorlin-en-Bugey;24015,5
01387;Saint-Sulpice;20560,7
01388;Saint-Trivier-de-Courtes;18612,9
01389;Saint-Trivier-sur-Moignans;20857,0
01390;Saint-Vulbas;21533,3
01391;Salavre;22145,3
01392;Samognat;23431,6
01393;Sandrans;22772,2
01396;Sault-Brénaz;18494,3
01397;Sauverny;36063,0
01398;Savigneux;22974,0
01399;Ségny;36246,0
01400;Seillonnaz;19601,9
01401;Sergy;40434,0
01402;Sermoyer;18957,8
01403;Serrières-de-Briord;19547,0
01404;Serrières-sur-Ain;24184,8
01405;Servas;20137,2
01406;Servignat;18475,1
01407;Seyssel;20653,3
01408;Simandre-sur-Suran;20064,7
01409;Songieu;20171,2
01410;Sonthonnax-la-Montagne;24780,0
01411;Souclin;21210,7
01412;Sulignat;21967,8
01413;Surjoux;
01414;Sutrieu;22060,8
01415;Talissieu;20228,0
01416;Tenay;17303,5
01417;Thézillieu;19804,3
01418;Thil;26600,8
01419;Thoiry;32638,1
01420;Thoissey;17877,0
01421;Torcieu;21436,7
01422;Tossiat;22963,9
01423;Toussieux;25104,0
01424;Tramoyes;26839,5
01425;La Tranclière;21336,0
01426;Treffort-Cuisiat;21034,8
01427;Trévoux;20968,5
01428;Valeins;22651,3
01429;Vandeins;21832,4
01430;Varambon;22002,8
01431;Vaux-en-Bugey;21767,3
01432;Verjon;21287,1
01433;Vernoux;18757,7
01434;Versailleux;23120,6
01435;Versonnex;31318,7
01436;Vesancy;37941,7
01437;Vescours;16907,9
01439;Vésines;20466,7
01441;Vieu-d'Izenave;20250,0
01442;Vieu;20863,0
01443;Villars-les-Dombes;21853,8
01444;Villebois;20890,3
01445;Villemotier;21034,6
01446;Villeneuve;22789,9
01447;Villereversure;19723,5
01448;Villes;26522,0
01449;Villette-sur-Ain;23358,6
01450;Villieu-Loyes-Mollon;23504,0
01451;Viriat;22372,0
01452;Virieu-le-Grand;18517,0
01453;Virieu-le-Petit;20080,3
01454;Virignin;19924,7
01456;Vongnes;
01457;Vonnas;19390,4
02001;Abbécourt;18230,4
02002;Achery;19631,3
02003;Acy;20611,4
02004;Agnicourt-et-Séchelles;17860,4
02005;Aguilcourt;21948,1
02006;Aisonville-et-Bernoville;19023,8
02007;Aizelles;20779,0
02008;Aizy-Jouy;19611,3
02009;Alaincourt;20192,0
02010;Allemant;19255,8
02011;Ambleny;21446,5
02012;Ambrief;
02013;Amifontaine;20076,7
02014;Amigny-Rouy;20300,6
02015;Ancienville;
02016;Andelain;19246,4
02017;Anguilcourt-le-Sart;19106,3
02018;Anizy-le-Château;18291,0
02019;Annois;18893,3
02020;Any-Martin-Rieux;17563,0
02021;Archon;14659,3
02022;Arcy-Sainte-Restitue;19049,4
02023;Armentières-sur-Ourcq;21906,5
02024;Arrancy;
02025;Artemps;20834,7
02026;Artonges;19989,3
02027;Assis-sur-Serre;19322,5
02028;Athies-sous-Laon;20195,0
02029;Attilly;20497,6
02030;Aubencheul-aux-Bois;18046,9
02031;Aubenton;16054,7
02032;Aubigny-aux-Kaisnes;16539,0
02033;Aubigny-en-Laonnois;19923,3
02034;Audignicourt;20982,0
02035;Audigny;18238,0
02036;Augy;
02037;Aulnois-sous-Laon;19816,0
02038;Les Autels;
02039;Autremencourt;17755,7
02040;Autreppes;18611,4
02041;Autreville;20342,0
02042;Azy-sur-Marne;23320,0
02043;Bagneux;
02044;Bancigny;
02046;Barenton-Bugny;19664,7
02047;Barenton-Cel;19461,6
02048;Barenton-sur-Serre;19847,1
02049;Barisis-aux-Bois;20124,5
02050;Barzy-en-Thiérache;17724,8
02051;Barzy-sur-Marne;21927,3
02052;Bassoles-Aulers;20564,4
02053;Baulne-en-Brie;21603,8
02054;Bazoches-sur-Vesles;20714,5
02055;Beaumé;20369,3
02056;Beaumont-en-Beine;20330,7
02057;Beaurevoir;16523,7
02058;Beaurieux;18050,5
02059;Beautor;16077,0
02060;Beauvois-en-Vermandois;21526,0
02061;Becquigny;17053,6
02062;Belleau;19201,8
02063;Bellenglise;19008,0
02064;Belleu;18532,2
02065;Bellicourt;18487,8
02066;Benay;19986,8
02067;Bergues-sur-Sambre;19130,5
02068;Berlancourt;
02069;Berlise;14552,7
02070;Bernot;19246,7
02071;Berny-Rivière;21693,3
02072;Berrieux;21393,8
02073;Berry-au-Bac;20782,0
02074;Bertaucourt-Epourdon;19514,4
02075;Berthenicourt;23058,9
02076;Bertricourt;21648,3
02077;Berzy-le-Sec;20148,0
02078;Besmé;16815,2
02079;Besmont;16820,0
02080;Besny-et-Loizy;22878,0
02081;Béthancourt-en-Vaux;21086,7
02082;Beugneux;18580,6
02083;Beuvardes;20687,3
02084;Bézu-le-Guéry;23675,2
02085;Bézu-Saint-Germain;20505,4
02086;Bichancourt;19977,1
02087;Bieuxy;
02088;Bièvres;
02089;Billy-sur-Aisne;20212,5
02090;Billy-sur-Ourcq;20031,2
02091;Blanzy-lès-Fismes;21470,7
02093;Blérancourt;17635,0
02094;Blesmes;22557,0
02095;Bohain-en-Vermandois;14280,5
02096;Bois-lès-Pargny;20595,3
02097;Boncourt;18206,7
02098;Bonneil;23627,0
02099;Bonnesvalyn;22641,9
02100;Bony;17129,2
02101;Bosmont-sur-Serre;19606,0
02102;Bouconville-Vauclair;20210,0
02103;Boué;17919,3
02104;Bouffignereux;23358,3
02105;Bouresches;19680,7
02106;Bourg-et-Comin;18765,3
02107;Bourguignon-sous-Coucy;
02108;Bourguignon-sous-Montbavin;22370,7
02109;La Bouteille;17868,0
02110;Braine;18367,8
02111;Brancourt-en-Laonnois;21459,6
02112;Brancourt-le-Grand;19000,0
02114;Brasles;22054,0
02115;Braye-en-Laonnois;19152,8
02116;Braye-en-Thiérache;15727,3
02117;Bray-Saint-Christophe;
02118;Braye;17255,5
02119;Brécy;19194,3
02120;Brenelle;18258,0
02121;Breny;18732,0
02122;Brie;
02123;Brissay-Choigny;20262,6
02124;Brissy-Hamégicourt;19320,0
02125;Brumetz;20218,3
02126;Brunehamel;16296,7
02127;Bruyères-sur-Fère;19297,2
02128;Bruyères-et-Montbérault;21671,7
02129;Bruys;
02130;Bucilly;17971,9
02131;Bucy-le-Long;21064,3
02132;Bucy-lès-Cerny;20601,0
02133;Bucy-lès-Pierrepont;16936,7
02134;Buire;17813,2
02135;Buironfosse;16744,0
02136;Burelles;18079,0
02137;Bussiares;21017,5
02138;Buzancy;23835,7
02139;Caillouël-Crépigny;21977,3
02140;Camelin;18508,0
02141;La Capelle;17016,0
02142;Castres;21776,4
02143;Le Catelet;17838,0
02144;Caulaincourt;21640,0
02145;Caumont;20373,3
02146;Celles-lès-Condé;
02147;La Celle-sous-Montmirail;20706,0
02148;Celles-sur-Aisne;18939,4
02149;Cerizy;
02150;Cerny-en-Laonnois;
02151;Cerny-lès-Bucy;24675,3
02152;Cerseuil;
02153;Cessières;21654,0
02154;Chacrise;21277,6
02155;Chaillevois;22497,0
02156;Chalandry;19698,0
02157;Chambry;20684,1
02158;Chamouille;17001,0
02159;Champs;19169,5
02160;Chaourse;17113,5
02161;La Chapelle-Monthodon;24390,5
02162;La Chapelle-sur-Chézy;20738,3
02163;Charly-sur-Marne;19103,3
02164;Le Charmel;18473,9
02165;Charmes;18556,7
02166;Chartèves;22164,3
02167;Chassemy;19821,5
02168;Château-Thierry;17565,3
02169;Châtillon-lès-Sons;
02170;Châtillon-sur-Oise;20499,3
02171;Chaudardes;
02172;Chaudun;19606,0
02173;Chauny;16409,3
02174;Chavignon;19091,0
02175;Chavigny;19072,7
02176;Chavonne;17930,6
02177;Chérêt;21301,7
02178;Chermizy-Ailles;19231,4
02179;Chéry-Chartreuve;20276,0
02180;Chéry-lès-Pouilly;20420,0
02181;Chéry-lès-Rozoy;
02182;Chevennes;17269,2
02183;Chevregny;23355,0
02184;Chevresis-Monceau;18024,2
02185;Chézy-en-Orxois;20596,2
02186;Chézy-sur-Marne;22541,0
02187;Chierry;21751,7
02188;Chigny;16104,7
02189;Chivres-en-Laonnois;16906,7
02190;Chivres-Val;20442,2
02191;Chivy-lès-Étouvelles;20697,0
02192;Chouy;19345,8
02193;Cierges;
02194;Cilly;19642,7
02195;Ciry-Salsogne;21458,3
02196;Clacy-et-Thierret;20832,4
02197;Clairfontaine;19704,0
02198;Clamecy;20640,5
02199;Clastres;19454,9
02200;Clermont-les-Fermes;16263,9
02201;Coeuvres-et-Valsery;19763,3
02203;Coincy;18247,1
02204;Coingt;
02205;Colligis-Crandelain;18306,2
02206;Colonfay;
02207;Commenchon;22272,2
02208;Concevreux;21338,5
02209;Condé-en-Brie;18112,0
02210;Condé-sur-Aisne;19266,8
02211;Condé-sur-Suippe;20178,5
02212;Condren;20211,0
02213;Connigis;20350,4
02214;Contescourt;
02215;Corbeny;19895,7
02216;Corcy;23151,3
02217;Coucy-le-Château-Auffrique;19116,7
02218;Coucy-lès-Eppes;19102,0
02219;Coucy-la-Ville;19447,3
02220;Coulonges-Cohan;19712,7
02221;Coupru;21121,9
02222;Courbes;
02223;Courboin;19415,8
02224;Courcelles-sur-Vesle;17512,0
02225;Courchamps;
02226;Courmelles;20153,5
02227;Courmont;21096,3
02228;Courtemont-Varennes;20482,4
02229;Courtrizy-et-Fussigny;
02230;Couvrelles;21710,0
02231;Couvron-et-Aumencourt;18342,9
02232;Coyolles;22189,6
02233;Cramaille;21677,6
02234;Craonne;
02235;Craonnelle;20081,8
02236;Crécy-au-Mont;17667,3
02237;Crécy-sur-Serre;17823,3
02238;Crépy;18909,4
02239;Crézancy;18761,1
02240;Croix-Fonsomme;17911,3
02241;La Croix-sur-Ourcq;20131,7
02242;Crouttes-sur-Marne;21337,0
02243;Crouy;18627,5
02244;Crupilly;
02245;Cuffies;19334,4
02246;Cugny;20167,3
02248;Cuirieux;17850,0
02249;Cuiry-Housse;21738,0
02250;Cuiry-lès-Chaudardes;
02251;Cuiry-lès-Iviers;
02252;Cuissy-et-Geny;
02253;Cuisy-en-Almont;21880,7
02254;Cutry;24221,3
02255;Cys-la-Commune;18565,5
02256;Dagny-Lambercy;15590,0
