dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;pop;couv_tot_dose1;couv_tot_complet
11;04;2021-07-08;15;10;16558.0;0.1;0.1
11;09;2021-07-08;8;0;20110.0;0.0;0.0
11;11;2021-07-08;16;1;8794.0;0.2;0.0
11;17;2021-07-08;4043;456;25657.0;15.8;1.8
11;24;2021-07-08;9379;4394;22902.0;41.0;19.2
11;29;2021-07-08;5548;2847;15409.0;36.0;18.5
11;39;2021-07-08;14764;8626;39384.0;37.5;21.9
11;49;2021-07-08;22847;14998;45681.0;50.0;32.8
11;59;2021-07-08;32641;26075;51248.0;63.7;50.9
11;64;2021-07-08;18952;16715;26525.0;71.4;63.0
11;69;2021-07-08;21286;19303;27686.0;76.9;69.7
11;74;2021-07-08;22266;20889;25828.0;86.2;80.9
11;79;2021-07-08;14599;14058;16823.0;86.8;83.6
11;80;2021-07-08;22169;21002;30100.0;73.7;69.8
12;04;2021-07-08;4;2;11791.0;0.0;0.0
12;09;2021-07-08;1;1;14098.0;0.0;0.0
12;11;2021-07-08;8;1;6137.0;0.1;0.0
12;17;2021-07-08;2556;263;18532.0;13.8;1.4
12;24;2021-07-08;7727;3137;16356.0;47.2;19.2
12;29;2021-07-08;4285;2130;11329.0;37.8;18.8
12;39;2021-07-08;12226;6894;28724.0;42.6;24.0
12;49;2021-07-08;18776;11988;33377.0;56.3;35.9
12;59;2021-07-08;27286;22212;39683.0;68.8;56.0
12;64;2021-07-08;15879;14374;20219.0;78.5;71.1
12;69;2021-07-08;17099;15784;20502.0;83.4;77.0
12;74;2021-07-08;17606;16573;18733.0;94.0;88.5
12;79;2021-07-08;11460;10885;12213.0;93.8;89.1
12;80;2021-07-08;21670;20354;26666.0;81.3;76.3
13;04;2021-07-08;70;21;115829.0;0.1;0.0
13;09;2021-07-08;40;8;122467.0;0.0;0.0
13;11;2021-07-08;51;11;48590.0;0.1;0.0
13;17;2021-07-08;14802;2557;143381.0;10.3;1.8
13;24;2021-07-08;59502;35169;166869.0;35.7;21.1
13;29;2021-07-08;42691;27095;113164.0;37.7;23.9
13;39;2021-07-08;103303;70236;254362.0;40.6;27.6
13;49;2021-07-08;140173;104457;256640.0;54.6;40.7
13;59;2021-07-08;176984;148239;265649.0;66.6;55.8
13;64;2021-07-08;89754;80333;120563.0;74.4;66.6
13;69;2021-07-08;87340;79848;115967.0;75.3;68.9
13;74;2021-07-08;88548;82755;105855.0;83.7;78.2
13;79;2021-07-08;64521;60644;76830.0;84.0;78.9
