dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel
55;0;2021-10-28;131564;128443;7728;181641.0;72.4;70.7;4.3
56;0;2021-10-28;635874;625858;35440;755566.0;84.2;82.8;4.7
57;0;2021-10-28;768651;749661;51758;1035866.0;74.2;72.4;5.0
58;0;2021-10-28;166986;164231;15505;199596.0;83.7;82.3;7.8
59;0;2021-10-28;1973117;1926102;110902;2588988.0;76.2;74.4;4.3
60;0;2021-10-28;566223;549453;29252;825077.0;68.6;66.6;3.5
61;0;2021-10-28;234780;229607;15936;276903.0;84.8;82.9;5.8
62;0;2021-10-28;1128580;1109809;64585;1452778.0;77.7;76.4;4.4
63;0;2021-10-28;502908;494589;29406;660240.0;76.2;74.9;4.5
64;0;2021-10-28;576744;571045;36987;683169.0;84.4;83.6;5.4
65;0;2021-10-28;196926;191703;12988;226839.0;86.8;84.5;5.7
66;0;2021-10-28;387965;383316;25315;479000.0;81.0;80.0;5.3
67;0;2021-10-28;875949;861933;41356;1132607.0;77.3;76.1;3.7
68;0;2021-10-28;543591;530845;26786;763204.0;71.2;69.6;3.5
69;0;2021-10-28;1496349;1477566;73154;1876051.0;79.8;78.8;3.9
70;0;2021-10-28;176659;172173;10728;233194.0;75.8;73.8;4.6
71;0;2021-10-28;442966;439263;32473;547824.0;80.9;80.2;5.9
72;0;2021-10-28;432346;422521;24649;560227.0;77.2;75.4;4.4
73;0;2021-10-28;333648;327908;19356;432548.0;77.1;75.8;4.5
74;0;2021-10-28;623119;610138;27754;828405.0;75.2;73.7;3.4
75;0;2021-10-28;2010243;1958709;107178;2148271.0;93.6;91.2;5.0
76;0;2021-10-28;1025860;1009905;60141;1243788.0;82.5;81.2;4.8
77;0;2021-10-28;947159;913418;43961;1423607.0;66.5;64.2;3.1
78;0;2021-10-28;917068;896952;57561;1448625.0;63.3;61.9;4.0
79;0;2021-10-28;299535;296328;18063;372627.0;80.4;79.5;4.8
80;0;2021-10-28;446100;435611;26975;569769.0;78.3;76.5;4.7
81;0;2021-10-28;300001;293248;18463;387898.0;77.3;75.6;4.8
82;0;2021-10-28;198121;193912;11750;262618.0;75.4;73.8;4.5
83;0;2021-10-28;797360;787597;51050;1073836.0;74.3;73.3;4.8
84;0;2021-10-28;425211;417356;24310;560997.0;75.8;74.4;4.3
85;0;2021-10-28;578877;575292;33682;683187.0;84.7;84.2;4.9
86;0;2021-10-28;346964;339720;22711;437398.0;79.3;77.7;5.2
