LocID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
1107,France (and dependencies),2,Medium,2020,2020.5,27,27,1,378.141,384.269,762.41
1107,France (and dependencies),2,Medium,2020,2020.5,28,28,1,381.093,390.177,771.27
1107,France (and dependencies),2,Medium,2020,2020.5,29,29,1,386.648,398.484,785.132
1107,France (and dependencies),2,Medium,2020,2020.5,30,30,1,392.08,406.542,798.622
1107,France (and dependencies),2,Medium,2020,2020.5,31,31,1,397.795,414.798,812.593
1107,France (and dependencies),2,Medium,2020,2020.5,32,32,1,402.881,421.718,824.599
1107,France (and dependencies),2,Medium,2020,2020.5,33,33,1,406.553,426.246,832.799
1107,France (and dependencies),2,Medium,2020,2020.5,34,34,1,409.143,428.966,838.109
1107,France (and dependencies),2,Medium,2020,2020.5,35,35,1,412.379,432.21,844.589
1107,France (and dependencies),2,Medium,2020,2020.5,36,36,1,416.664,436.337,853.001
1107,France (and dependencies),2,Medium,2020,2020.5,37,37,1,417.99,437.16,855.15
1107,France (and dependencies),2,Medium,2020,2020.5,38,38,1,414.774,433.087,847.861
1107,France (and dependencies),2,Medium,2020,2020.5,39,39,1,409.108,426.323,835.431
1107,France (and dependencies),2,Medium,2020,2020.5,40,40,1,403.807,419.845,823.652
1107,France (and dependencies),2,Medium,2020,2020.5,41,41,1,397.287,412.09,809.377
1107,France (and dependencies),2,Medium,2020,2020.5,42,42,1,396.813,410.459,807.272
1107,France (and dependencies),2,Medium,2020,2020.5,43,43,1,405.946,418.632,824.578
1107,France (and dependencies),2,Medium,2020,2020.5,44,44,1,420.89,432.807,853.697
1107,France (and dependencies),2,Medium,2020,2020.5,45,45,1,434.59,445.796,880.386
1107,France (and dependencies),2,Medium,2020,2020.5,46,46,1,448.839,459.384,908.223
1107,France (and dependencies),2,Medium,2020,2020.5,47,47,1,458.393,468.769,927.162
1107,France (and dependencies),2,Medium,2020,2020.5,48,48,1,460.048,470.948,930.996
1107,France (and dependencies),2,Medium,2020,2020.5,49,49,1,456.47,468.41,924.88
1107,France (and dependencies),2,Medium,2020,2020.5,50,50,1,453.434,466.514,919.948
1107,France (and dependencies),2,Medium,2020,2020.5,51,51,1,449.657,464.051,913.708
1107,France (and dependencies),2,Medium,2020,2020.5,52,52,1,446.403,462.23,908.633
1107,France (and dependencies),2,Medium,2020,2020.5,53,53,1,444.829,462.147,906.976
1107,France (and dependencies),2,Medium,2020,2020.5,54,54,1,444,462.877,906.877
1107,France (and dependencies),2,Medium,2020,2020.5,55,55,1,442.077,462.675,904.752
1107,France (and dependencies),2,Medium,2020,2020.5,56,56,1,439.77,462.212,901.982
1107,France (and dependencies),2,Medium,2020,2020.5,57,57,1,435.473,459.833,895.306
1107,France (and dependencies),2,Medium,2020,2020.5,58,58,1,428.318,454.647,882.965
1107,France (and dependencies),2,Medium,2020,2020.5,59,59,1,419.351,447.7,867.051
1107,France (and dependencies),2,Medium,2020,2020.5,60,60,1,410.333,440.756,851.089
1107,France (and dependencies),2,Medium,2020,2020.5,61,61,1,400.722,433.25,833.972
1107,France (and dependencies),2,Medium,2020,2020.5,62,62,1,392.646,427.322,819.968
1107,France (and dependencies),2,Medium,2020,2020.5,63,63,1,387.289,424.146,811.435
1107,France (and dependencies),2,Medium,2020,2020.5,64,64,1,383.589,422.638,806.227
1107,France (and dependencies),2,Medium,2020,2020.5,65,65,1,378.6,419.727,798.327
1107,France (and dependencies),2,Medium,2020,2020.5,66,66,1,372.059,415.053,787.112
1107,France (and dependencies),2,Medium,2020,2020.5,67,67,1,366.96,412.07,779.03
1107,France (and dependencies),2,Medium,2020,2020.5,68,68,1,364.212,411.868,776.08
1107,France (and dependencies),2,Medium,2020,2020.5,69,69,1,362.032,412.363,774.395
1107,France (and dependencies),2,Medium,2020,2020.5,70,70,1,359.143,412.107,771.25
1107,France (and dependencies),2,Medium,2020,2020.5,71,71,1,357.51,413.475,770.985
1107,France (and dependencies),2,Medium,2020,2020.5,72,72,1,346.308,403.519,749.827
1107,France (and dependencies),2,Medium,2020,2020.5,73,73,1,320.56,376.322,696.882
1107,France (and dependencies),2,Medium,2020,2020.5,74,74,1,285.961,338.725,624.686
1107,France (and dependencies),2,Medium,2020,2020.5,75,75,1,252.494,302.547,555.041
1107,France (and dependencies),2,Medium,2020,2020.5,76,76,1,217.338,264.286,481.624
1107,France (and dependencies),2,Medium,2020,2020.5,77,77,1,190.343,236.552,426.895
1107,France (and dependencies),2,Medium,2020,2020.5,78,78,1,177.162,226.451,403.613
1107,France (and dependencies),2,Medium,2020,2020.5,79,79,1,172.892,227.668,400.56
1107,France (and dependencies),2,Medium,2020,2020.5,80,80,1,166.975,226.614,393.589
1107,France (and dependencies),2,Medium,2020,2020.5,81,81,1,161.542,225.823,387.365
1107,France (and dependencies),2,Medium,2020,2020.5,82,82,1,154.542,223.083,377.625
1107,France (and dependencies),2,Medium,2020,2020.5,83,83,1,143.908,215.874,359.782
1107,France (and dependencies),2,Medium,2020,2020.5,84,84,1,131.034,205.612,336.646
