CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
200069300;57238;118386;20310;44.6;16.3;29.3;21.2;18.5;15.7;10.5;11.7;6.9;33.2;64.7;56;3.2;5.5;36;8.4;6.8;2;3.1;1.7;-15.9;11250;33860;3
200069383;12096;25576;20130;42.1;16;24.9;20.3;17.5;17.5;11.4;13.5;10.3;31.6;58.6;48.1;2.4;8.1;39.7;11.3;5.7;1.9;2.5;1.3;-15.3;11290;33740;3
200069391;29807;68209;21840;48.3;9.1;11.4;8.8;10.1;9.3;6.4;11.3;6;20.7;68.8;58;2.5;8.3;32.8;9.8;4.5;2.2;1.4;0.9;-15.9;13400;34890;2.6
200069409;68374;149045;21560;49.8;11.9;22.4;14.9;14.3;11.4;6.8;7.1;5;28.8;67.9;59.4;2.8;5.7;34.4;9.1;5.8;2.2;2.2;1.4;-17.2;12430;35610;2.9
200069417;9796;23349;20870;44;11.7;;13.3;11.5;13;7.9;12.9;7.8;24.2;67.3;56.7;3.5;7.1;33.4;9.1;4.9;2.1;1.8;1;-14.7;12460;34080;2.7
200069425;38993;84954;20410;41.3;12.6;15.3;12.7;14.5;13.9;9.2;12.2;8.4;23;63.9;54.7;2.2;7;35.2;10;5.3;2.1;2;1.2;-14.4;12240;32250;2.6
200069433;4904;11163;19000;34.9;19.1;;24.4;20;20.6;13.5;14.3;11.8;42.1;61.4;51.7;3.3;6.4;36.9;6.9;7.4;2.8;3.1;1.5;-12.6;10790;30290;2.8
200069441;13918;32565;21870;46.8;10.9;17.6;14.2;12.2;9.5;7.7;10.8;6.9;26.5;73.6;66.9;3;3.7;28.9;9.2;4;1.7;1.5;0.8;-15.7;12730;35560;2.8
200069458;6449;13508;19130;39;18.9;;24.2;23.6;20;13.3;12.4;11.6;34.4;58.1;49;2.9;6.2;40.3;9.4;6;2.2;2.4;1.4;-13.8;10850;30980;2.9
200069482;13197;33224;21820;48.4;10.7;12.5;11.2;11.5;10.7;7.1;14.4;7.1;25.5;74.8;64;2.4;8.4;26.9;10.1;4.6;2.3;1.5;0.8;-16.4;12820;35950;2.8
200069516;6681;16882;23030;56.1;5.2;;;5.1;7.1;;;5;14;74.8;66.3;2.3;6.2;29.4;8.7;3.8;2.2;1;0.6;-16.7;14710;36710;2.5
200069524;9803;24357;21150;43.8;10.5;14;10.9;11.1;10.9;7.5;10.6;6.7;22.2;74.6;66.8;3;4.8;26;8.4;5.3;2.8;1.5;1;-14.3;12890;32700;2.5
200069532;31535;69496;19970;42.7;15.1;22.1;17.7;17.6;16.6;10.4;9.1;7.3;29.4;66.1;57.9;2.9;5.3;33.8;8.4;6.6;2.5;2.5;1.6;-14.9;11660;32460;2.8
200069540;6225;16385;27530;73.1;5;;;;;;;5;12.8;79.7;71.8;1.7;6.2;27.1;11.1;2.4;1.4;0.6;0.4;-20.3;17310;45440;2.6
200069565;7142;16712;32500;75.4;5;;;;;;;5;8.5;99.5;92;3.3;4.2;13.9;6.5;1.6;0.8;0.5;0.3;-21.5;16910;54270;3.2
200069581;13202;31538;21360;46.4;11.2;16;11.1;11.5;12.4;8.1;11.9;6.7;22.3;74.3;65.3;3.4;5.6;27;8.5;5.5;2.3;2.1;1.1;-15.3;12650;33920;2.7
200069599;6892;16227;20210;41.2;15;;13.8;16.6;15.6;11.6;17.5;10.4;27.9;69.7;55.6;3.4;10.7;28.3;11.6;5.6;2.2;2.3;1.1;-15.2;11530;33980;2.9
200069615;8487;19094;21920;49.4;9.8;;9.9;10.2;10.6;6.5;12;6.8;22.1;69.4;60.5;2.4;6.5;33.5;8.6;4.1;2;1.3;0.8;-15.6;13130;35330;2.7
200069623;10131;22155;22030;48.5;10.3;;9.9;11.2;10.3;9;10.4;5.7;23.1;71.8;62.3;2.8;6.7;31.7;8;4.1;1.8;1.4;0.9;-15.6;12950;37040;2.9
200069631;7353;17732;20870;44.6;11.2;;12.4;11.6;9.6;8.5;14.6;8.1;21.9;68.1;57.3;3.3;7.5;33.1;8.7;4.8;2.1;1.7;1;-14.7;12630;33130;2.6
200069649;10946;25409;20920;43.8;11.3;;13.1;12.4;10.5;8;12;7.4;24.1;65.6;56.4;2.6;6.6;34.3;9.7;5;2.1;1.9;1;-14.6;12670;32820;2.6
200069656;6781;15299;20100;41.7;14.8;;17.8;17.8;16.3;10.3;12.4;8.8;28.3;64.2;54.8;3.7;5.7;35.8;8.7;5.7;2.3;2.1;1.3;-14.4;11710;33130;2.8
200069664;4803;10348;20150;40;13.3;;16;16.1;15.1;9;;8.9;29.8;62.6;52.8;2.3;7.5;36.7;8.9;5.4;2.1;2.3;1;-13.6;12020;31500;2.6
200069672;15293;36818;18980;37.8;19.5;32;23.5;21.6;18.9;12.1;15.9;10.5;38.7;66.5;56.4;2.9;7.2;30.5;9.3;7.7;3;3;1.7;-14;10820;31680;2.9
200069698;7109;15037;21810;50.1;11.7;;14.3;13.6;13.5;8.2;;6.1;27.3;67.4;55.5;2.5;9.4;35.4;9.5;4.6;1.8;1.8;1;-16.9;12510;36810;2.9
200069722;9122;20840;19980;43.3;15;20.7;17.1;17;15;11.3;11.5;9.3;30.2;67.8;59;2.7;6.1;31.5;9.1;6;2.3;2.5;1.2;-14.4;11780;31460;2.7
200069730;12387;27921;20330;44.6;14;20.9;15.3;15.9;14.2;10.9;10.6;8.7;26.8;67;58.5;3.2;5.3;33.4;8.2;5.9;2.4;2.3;1.2;-14.5;11760;32250;2.7
200069748;8889;21103;20520;40.3;11.4;;10.8;10.8;12.5;9.1;15.9;8.5;24.2;73.5;63.4;2.5;7.6;27.3;8.6;5.1;2.5;1.7;0.9;-14.5;12570;32710;2.6
200069755;20448;45858;20200;41.1;13.9;18.2;14.4;14.4;14.1;11.3;14.8;9.8;28.5;66.3;56.9;2.3;7.1;34.3;8.9;5.4;2.1;2.2;1.1;-14.9;11930;32550;2.7
200069763;16781;40941;21590;47.7;9.4;12.7;9.4;9.1;9;7.5;12.9;5.9;23.8;76.6;68.5;2.7;5.4;26.3;8.2;4.5;2.4;1.3;0.8;-15.6;13240;33550;2.5
200069821;16918;37868;20480;45.8;13.6;24.5;17.8;15.3;13.8;7.4;8.2;5.4;27.7;66.6;58;3.2;5.4;34;8;6.6;2.4;2.8;1.4;-15.2;12030;33610;2.8
200069839;11666;27138;21180;49;11.7;15.7;13.4;13.1;12;8.4;9.5;6.2;21.7;70;60;2.6;7.4;32.1;8.8;5.2;2.2;2;1;-16.1;12580;36080;2.9
200069847;8235;20628;21660;47.7;9.1;;8.7;9.4;10.2;6.6;;5.5;20.9;76.6;67.7;2.6;6.3;25.8;7.9;4.9;2.5;1.5;0.9;-15.2;13330;34430;2.6
200069854;80865;172148;21530;50.4;15.4;33;18.6;16.5;13.3;8.3;7.6;5;32.7;72.4;65;2.7;4.7;30;9.2;6.2;2.2;2.3;1.7;-17.8;11090;37260;3.4
200069912;3393;7507;20810;45.1;11.7;;;13.5;;;;7.7;24.1;64.4;55.3;2.9;6.2;36.8;8.7;5.1;2.2;1.8;1.1;-15;12530;33100;2.6
200069953;19779;48354;24330;61.7;6.9;10.5;8;7.6;6.3;5;5.3;5;18;80.8;74.4;2.7;3.7;26.3;7;3.5;2;0.9;0.6;-17.6;14500;38750;2.7
200069961;17533;37941;20550;45.6;14.4;24.7;20.9;18.6;14.3;8.9;6.6;6.6;33.2;60.6;52;2.5;6.1;39;9.9;5.6;2.3;2;1.3;-15.1;11680;33370;2.9
200069995;13005;29712;20110;43.3;15.7;24.5;17.7;17.9;16.6;10.9;11.7;9.4;28.7;67.4;57;3.5;6.9;33;8.5;6.4;2.3;2.7;1.4;-15.3;11410;32420;2.8
200070035;11997;26018;19560;37.6;16.4;21.6;17.2;16.2;18.9;13.2;16;12;33.2;60.6;51.1;2.5;7;37.8;9.8;5.7;2.2;2.3;1.2;-13.9;11370;31780;2.8
200070043;17603;36494;19610;38.5;15.8;20.8;16.2;17.6;17.5;12.3;15.4;11.5;29.9;59.2;50.1;2.4;6.7;40.1;10.4;4.7;1.8;1.9;1;-14.4;11290;32220;2.9
200070068;10360;24360;20520;42.8;13.3;16.8;13.1;14.4;14.8;10.9;10.9;8;27.6;70;62.1;2.5;5.4;29.3;9.6;5.8;2.5;2.1;1.2;-14.7;11950;32370;2.7
200070092;39364;90434;20430;44.4;15.4;25.2;17.4;17.3;15.5;10.5;11.3;8.3;28.6;71.3;62;3.5;5.8;29.5;8.1;6.8;2.4;2.9;1.5;-15.7;11350;33890;3
200070100;10428;24229;22010;52.5;10.9;13.5;13.3;11.8;9.9;9.9;;5.5;24.7;71.8;65.2;2.6;4;31.4;8.4;4.5;2.2;1.4;0.9;-16.1;12730;35600;2.8
200070118;8052;20266;23760;57;6.3;;6.3;6.8;6.7;;;5;15;77.9;70.9;2.5;4.5;25.2;10;3.9;2.2;1;0.7;-17;14560;38340;2.6
200070126;4267;10154;21280;46.9;10.3;;14.1;11.2;;;;6.1;24.2;72;58.8;2.9;10.3;28.2;10.8;5;2.5;1.5;1;-16;12970;34630;2.7
200070142;8520;20501;21620;51.2;9.5;;11;9.3;8.9;7.7;;5.3;22.8;74.1;66.4;3.2;4.5;29.4;6.8;4.9;2.4;1.6;0.9;-15.2;13220;33630;2.5
200070159;10040;24282;22030;51.1;8.6;;8.6;10.5;8.9;6.2;;5.5;20.6;75.4;64.8;2.6;8;25.3;10.1;4.5;2.5;1.2;0.8;-15.3;13520;35410;2.6
200070167;6069;13534;20590;45.1;13;;16.3;13.8;15.1;8.3;;7.9;28.5;64.5;55.5;2.8;6.2;36.3;8;5.5;2.4;1.9;1.2;-14.3;12170;32290;2.7
200070183;19772;47976;23070;57;7.4;12.7;7.9;8.2;7.5;5.1;6.1;5;19;74.5;68;2.4;4.1;28.7;9.8;4;2.2;1.1;0.7;-17;14160;36720;2.6
