COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;27334;Heudreville-en-Lieuvin;CHAR;5
CODGEO;Code géographique;Code géographique;27335;Heudreville-sur-Eure;CHAR;5
CODGEO;Code géographique;Code géographique;27336;La Heunière;CHAR;5
CODGEO;Code géographique;Code géographique;27337;Heuqueville;CHAR;5
CODGEO;Code géographique;Code géographique;27338;Les Hogues;CHAR;5
CODGEO;Code géographique;Code géographique;27339;Hondouville;CHAR;5
CODGEO;Code géographique;Code géographique;27340;Honguemare-Guenouville;CHAR;5
CODGEO;Code géographique;Code géographique;27341;L'Hosmes;CHAR;5
CODGEO;Code géographique;Code géographique;27342;Houetteville;CHAR;5
CODGEO;Code géographique;Code géographique;27343;Houlbec-Cocherel;CHAR;5
CODGEO;Code géographique;Code géographique;27345;La Houssaye;CHAR;5
CODGEO;Code géographique;Code géographique;27346;Houville-en-Vexin;CHAR;5
CODGEO;Code géographique;Code géographique;27347;Huest;CHAR;5
CODGEO;Code géographique;Code géographique;27348;Igoville;CHAR;5
CODGEO;Code géographique;Code géographique;27349;Illeville-sur-Montfort;CHAR;5
CODGEO;Code géographique;Code géographique;27350;Illiers-l'Évêque;CHAR;5
CODGEO;Code géographique;Code géographique;27351;Incarville;CHAR;5
CODGEO;Code géographique;Code géographique;27353;Irreville;CHAR;5
CODGEO;Code géographique;Code géographique;27354;Iville;CHAR;5
CODGEO;Code géographique;Code géographique;27355;Ivry-la-Bataille;CHAR;5
CODGEO;Code géographique;Code géographique;27358;Jouy-sur-Eure;CHAR;5
CODGEO;Code géographique;Code géographique;27359;Juignettes;CHAR;5
CODGEO;Code géographique;Code géographique;27360;Jumelles;CHAR;5
CODGEO;Code géographique;Code géographique;27361;La Lande-Saint-Léger;CHAR;5
CODGEO;Code géographique;Code géographique;27363;Le Landin;CHAR;5
CODGEO;Code géographique;Code géographique;27364;Launay;CHAR;5
CODGEO;Code géographique;Code géographique;27365;Léry;CHAR;5
CODGEO;Code géographique;Code géographique;27366;Letteguives;CHAR;5
CODGEO;Code géographique;Code géographique;27367;Lieurey;CHAR;5
CODGEO;Code géographique;Code géographique;27368;Lignerolles;CHAR;5
CODGEO;Code géographique;Code géographique;27369;Lilly;CHAR;5
CODGEO;Code géographique;Code géographique;27370;Lisors;CHAR;5
CODGEO;Code géographique;Code géographique;27371;Livet-sur-Authou;CHAR;5
CODGEO;Code géographique;Code géographique;27372;Longchamps;CHAR;5
CODGEO;Code géographique;Code géographique;27373;Lorleau;CHAR;5
CODGEO;Code géographique;Code géographique;27374;Louversey;CHAR;5
CODGEO;Code géographique;Code géographique;27375;Louviers;CHAR;5
CODGEO;Code géographique;Code géographique;27376;Louye;CHAR;5
CODGEO;Code géographique;Code géographique;27377;Lyons-la-Forêt;CHAR;5
CODGEO;Code géographique;Code géographique;27378;La Madeleine-de-Nonancourt;CHAR;5
CODGEO;Code géographique;Code géographique;27379;Mainneville;CHAR;5
CODGEO;Code géographique;Code géographique;27380;Malleville-sur-le-Bec;CHAR;5
CODGEO;Code géographique;Code géographique;27381;Malouy;CHAR;5
CODGEO;Code géographique;Code géographique;27382;Mandeville;CHAR;5
CODGEO;Code géographique;Code géographique;27383;Mandres;CHAR;5
CODGEO;Code géographique;Code géographique;27384;Manneville-la-Raoult;CHAR;5
CODGEO;Code géographique;Code géographique;27385;Manneville-sur-Risle;CHAR;5
CODGEO;Code géographique;Code géographique;27386;Le Manoir;CHAR;5
CODGEO;Code géographique;Code géographique;27388;Marais-Vernier;CHAR;5
CODGEO;Code géographique;Code géographique;27389;Marbeuf;CHAR;5
CODGEO;Code géographique;Code géographique;27390;Marcilly-la-Campagne;CHAR;5
CODGEO;Code géographique;Code géographique;27391;Marcilly-sur-Eure;CHAR;5
CODGEO;Code géographique;Code géographique;27392;Martagny;CHAR;5
CODGEO;Code géographique;Code géographique;27393;Martainville;CHAR;5
CODGEO;Code géographique;Code géographique;27394;Martot;CHAR;5
CODGEO;Code géographique;Code géographique;27395;Mélicourt;CHAR;5
CODGEO;Code géographique;Code géographique;27396;Ménesqueville;CHAR;5
CODGEO;Code géographique;Code géographique;27397;Ménilles;CHAR;5
CODGEO;Code géographique;Code géographique;27398;Menneval;CHAR;5
CODGEO;Code géographique;Code géographique;27399;Mercey;CHAR;5
CODGEO;Code géographique;Code géographique;27400;Merey;CHAR;5
CODGEO;Code géographique;Code géographique;27401;Le Mesnil-Fuguet;CHAR;5
CODGEO;Code géographique;Code géographique;27403;Le Mesnil-Jourdain;CHAR;5
CODGEO;Code géographique;Code géographique;27404;Mesnil-Rousset;CHAR;5
CODGEO;Code géographique;Code géographique;27405;Mesnil-sous-Vienne;CHAR;5
CODGEO;Code géographique;Code géographique;27406;Mesnil-sur-l'Estrée;CHAR;5
CODGEO;Code géographique;Code géographique;27407;Mesnil-Verclives;CHAR;5
CODGEO;Code géographique;Code géographique;27408;Mézières-en-Vexin;CHAR;5
CODGEO;Code géographique;Code géographique;27410;Miserey;CHAR;5
CODGEO;Code géographique;Code géographique;27411;Moisville;CHAR;5
CODGEO;Code géographique;Code géographique;27412;Terres de Bord;CHAR;5
CODGEO;Code géographique;Code géographique;27413;Montfort-sur-Risle;CHAR;5
CODGEO;Code géographique;Code géographique;27414;Montreuil-l'Argillé;CHAR;5
CODGEO;Code géographique;Code géographique;27415;Morainville-Jouveaux;CHAR;5
CODGEO;Code géographique;Code géographique;27417;Morgny;CHAR;5
CODGEO;Code géographique;Code géographique;27418;Morsan;CHAR;5
CODGEO;Code géographique;Code géographique;27419;Mouettes;CHAR;5
CODGEO;Code géographique;Code géographique;27420;Mouflaines;CHAR;5
CODGEO;Code géographique;Code géographique;27421;Mousseaux-Neuville;CHAR;5
CODGEO;Code géographique;Code géographique;27422;Muids;CHAR;5
CODGEO;Code géographique;Code géographique;27423;Muzy;CHAR;5
CODGEO;Code géographique;Code géographique;27424;Nagel-Séez-Mesnil;CHAR;5
CODGEO;Code géographique;Code géographique;27425;Nassandres sur Risle;CHAR;5
CODGEO;Code géographique;Code géographique;27426;Neaufles-Saint-Martin;CHAR;5
CODGEO;Code géographique;Code géographique;27427;Neaufles-Auvergny;CHAR;5
CODGEO;Code géographique;Code géographique;27428;Le Neubourg;CHAR;5
CODGEO;Code géographique;Code géographique;27429;Neuilly;CHAR;5
CODGEO;Code géographique;Code géographique;27430;La Neuve-Grange;CHAR;5
CODGEO;Code géographique;Code géographique;27431;La Neuve-Lyre;CHAR;5
CODGEO;Code géographique;Code géographique;27432;La Neuville-du-Bosc;CHAR;5
CODGEO;Code géographique;Code géographique;27433;Neuville-sur-Authou;CHAR;5
CODGEO;Code géographique;Code géographique;27434;Noards;CHAR;5
CODGEO;Code géographique;Code géographique;27435;La Noë-Poulain;CHAR;5
CODGEO;Code géographique;Code géographique;27436;Nogent-le-Sec;CHAR;5
CODGEO;Code géographique;Code géographique;27437;Nojeon-en-Vexin;CHAR;5
CODGEO;Code géographique;Code géographique;27438;Nonancourt;CHAR;5
CODGEO;Code géographique;Code géographique;27439;Normanville;CHAR;5
CODGEO;Code géographique;Code géographique;27440;Notre-Dame-de-l'Isle;CHAR;5
CODGEO;Code géographique;Code géographique;27441;Notre-Dame-d'Épine;CHAR;5
CODGEO;Code géographique;Code géographique;27442;Notre-Dame-du-Hamel;CHAR;5
CODGEO;Code géographique;Code géographique;27444;Le Noyer-en-Ouche;CHAR;5
CODGEO;Code géographique;Code géographique;27445;Noyers;CHAR;5
CODGEO;Code géographique;Code géographique;27446;Ormes;CHAR;5
CODGEO;Code géographique;Code géographique;27447;Le Val-Doré;CHAR;5
CODGEO;Code géographique;Code géographique;27448;Pacy-sur-Eure;CHAR;5
CODGEO;Code géographique;Code géographique;27451;Parville;CHAR;5
CODGEO;Code géographique;Code géographique;27453;Perriers-sur-Andelle;CHAR;5
CODGEO;Code géographique;Code géographique;27454;Perruel;CHAR;5
CODGEO;Code géographique;Code géographique;27455;Piencourt;CHAR;5
CODGEO;Code géographique;Code géographique;27456;Pinterville;CHAR;5
CODGEO;Code géographique;Code géographique;27457;Piseux;CHAR;5
CODGEO;Code géographique;Code géographique;27458;Pîtres;CHAR;5
CODGEO;Code géographique;Code géographique;27459;Les Places;CHAR;5
CODGEO;Code géographique;Code géographique;27460;Plainville;CHAR;5
CODGEO;Code géographique;Code géographique;27462;Le Planquay;CHAR;5
CODGEO;Code géographique;Code géographique;27463;Plasnes;CHAR;5
CODGEO;Code géographique;Code géographique;27464;Le Plessis-Grohan;CHAR;5
CODGEO;Code géographique;Code géographique;27465;Le Plessis-Hébert;CHAR;5
CODGEO;Code géographique;Code géographique;27466;Le Plessis-Sainte-Opportune;CHAR;5
CODGEO;Code géographique;Code géographique;27467;Pont-Audemer;CHAR;5
CODGEO;Code géographique;Code géographique;27468;Pont-Authou;CHAR;5
CODGEO;Code géographique;Code géographique;27469;Pont-de-l'Arche;CHAR;5
CODGEO;Code géographique;Code géographique;27470;Pont-Saint-Pierre;CHAR;5
CODGEO;Code géographique;Code géographique;27471;Porte-de-Seine;CHAR;5
CODGEO;Code géographique;Code géographique;27472;Portes;CHAR;5
CODGEO;Code géographique;Code géographique;27473;Port-Mort;CHAR;5
CODGEO;Code géographique;Code géographique;27474;Poses;CHAR;5
CODGEO;Code géographique;Code géographique;27475;La Poterie-Mathieu;CHAR;5
CODGEO;Code géographique;Code géographique;27476;Les Préaux;CHAR;5
CODGEO;Code géographique;Code géographique;27477;Pressagny-l'Orgueilleux;CHAR;5
CODGEO;Code géographique;Code géographique;27478;Prey;CHAR;5
CODGEO;Code géographique;Code géographique;27480;Puchay;CHAR;5
CODGEO;Code géographique;Code géographique;27481;Pullay;CHAR;5
CODGEO;Code géographique;Code géographique;27482;La Pyle;CHAR;5
CODGEO;Code géographique;Code géographique;27483;Quatremare;CHAR;5
CODGEO;Code géographique;Code géographique;27485;Quillebeuf-sur-Seine;CHAR;5
CODGEO;Code géographique;Code géographique;27486;Quittebeuf;CHAR;5
CODGEO;Code géographique;Code géographique;27487;Radepont;CHAR;5
CODGEO;Code géographique;Code géographique;27488;Renneville;CHAR;5
CODGEO;Code géographique;Code géographique;27489;Reuilly;CHAR;5
CODGEO;Code géographique;Code géographique;27490;Richeville;CHAR;5
CODGEO;Code géographique;Code géographique;27492;Romilly-la-Puthenaye;CHAR;5
CODGEO;Code géographique;Code géographique;27493;Romilly-sur-Andelle;CHAR;5
CODGEO;Code géographique;Code géographique;27495;La Roquette;CHAR;5
CODGEO;Code géographique;Code géographique;27496;Rosay-sur-Lieure;CHAR;5
CODGEO;Code géographique;Code géographique;27497;Rougemontiers;CHAR;5
CODGEO;Code géographique;Code géographique;27498;Rouge-Perriers;CHAR;5
CODGEO;Code géographique;Code géographique;27500;Routot;CHAR;5
CODGEO;Code géographique;Code géographique;27501;Rouvray;CHAR;5
CODGEO;Code géographique;Code géographique;27502;Rugles;CHAR;5
CODGEO;Code géographique;Code géographique;27504;Sacquenville;CHAR;5
CODGEO;Code géographique;Code géographique;27505;Saint-Agnan-de-Cernières;CHAR;5
CODGEO;Code géographique;Code géographique;27507;Saint-André-de-l'Eure;CHAR;5
CODGEO;Code géographique;Code géographique;27508;Saint-Antonin-de-Sommaire;CHAR;5
CODGEO;Code géographique;Code géographique;27511;Saint-Aubin-d'Écrosville;CHAR;5
CODGEO;Code géographique;Code géographique;27512;Saint-Aubin-de-Scellon;CHAR;5
CODGEO;Code géographique;Code géographique;27514;Saint-Aubin-du-Thenney;CHAR;5
CODGEO;Code géographique;Code géographique;27516;Treis-Sants-en-Ouche;CHAR;5
CODGEO;Code géographique;Code géographique;27517;Saint-Aubin-sur-Gaillon;CHAR;5
CODGEO;Code géographique;Code géographique;27518;Saint-Aubin-sur-Quillebeuf;CHAR;5
CODGEO;Code géographique;Code géographique;27520;Saint-Benoît-des-Ombres;CHAR;5
CODGEO;Code géographique;Code géographique;27521;Saint-Christophe-sur-Avre;CHAR;5
CODGEO;Code géographique;Code géographique;27522;Saint-Christophe-sur-Condé;CHAR;5
CODGEO;Code géographique;Code géographique;27524;Sainte-Colombe-la-Commanderie;CHAR;5
CODGEO;Code géographique;Code géographique;27525;Sainte-Colombe-près-Vernon;CHAR;5
CODGEO;Code géographique;Code géographique;27527;Saint-Cyr-de-Salerne;CHAR;5
CODGEO;Code géographique;Code géographique;27528;Le Vaudreuil;CHAR;5
CODGEO;Code géographique;Code géographique;27529;Saint-Cyr-la-Campagne;CHAR;5
CODGEO;Code géographique;Code géographique;27530;Saint-Denis-d'Augerons;CHAR;5
CODGEO;Code géographique;Code géographique;27531;Saint-Denis-des-Monts;CHAR;5
CODGEO;Code géographique;Code géographique;27533;Saint-Denis-le-Ferment;CHAR;5
CODGEO;Code géographique;Code géographique;27534;Saint-Didier-des-Bois;CHAR;5
CODGEO;Code géographique;Code géographique;27535;Saint-Élier;CHAR;5
CODGEO;Code géographique;Code géographique;27536;Saint-Éloi-de-Fourques;CHAR;5
CODGEO;Code géographique;Code géographique;27537;Saint-Étienne-du-Vauvray;CHAR;5
CODGEO;Code géographique;Code géographique;27538;Saint-Étienne-l'Allier;CHAR;5
CODGEO;Code géographique;Code géographique;27539;Saint-Étienne-sous-Bailleul;CHAR;5
CODGEO;Code géographique;Code géographique;27540;Sainte-Geneviève-lès-Gasny;CHAR;5
CODGEO;Code géographique;Code géographique;27541;Le Mesnil-Saint-Jean;CHAR;5
CODGEO;Code géographique;Code géographique;27542;Saint-Georges-du-Vièvre;CHAR;5
CODGEO;Code géographique;Code géographique;27543;Saint-Georges-Motel;CHAR;5
CODGEO;Code géographique;Code géographique;27544;Saint-Germain-de-Fresney;CHAR;5
CODGEO;Code géographique;Code géographique;27545;Saint-Germain-de-Pasquier;CHAR;5
CODGEO;Code géographique;Code géographique;27546;Saint-Germain-des-Angles;CHAR;5
CODGEO;Code géographique;Code géographique;27547;Saint-Germain-la-Campagne;CHAR;5
CODGEO;Code géographique;Code géographique;27548;Saint-Germain-sur-Avre;CHAR;5
CODGEO;Code géographique;Code géographique;27550;Saint-Grégoire-du-Vièvre;CHAR;5
CODGEO;Code géographique;Code géographique;27552;Saint-Jean-du-Thenney;CHAR;5
CODGEO;Code géographique;Code géographique;27553;Saint-Julien-de-la-Liègue;CHAR;5
CODGEO;Code géographique;Code géographique;27554;La Chapelle-Longueville;CHAR;5
CODGEO;Code géographique;Code géographique;27555;Saint-Laurent-des-Bois;CHAR;5
CODGEO;Code géographique;Code géographique;27556;Saint-Laurent-du-Tencement;CHAR;5
CODGEO;Code géographique;Code géographique;27557;Saint-Léger-de-Rôtes;CHAR;5
CODGEO;Code géographique;Code géographique;27558;Saint-Léger-du-Gennetey;CHAR;5
CODGEO;Code géographique;Code géographique;27560;Saint-Luc;CHAR;5
CODGEO;Code géographique;Code géographique;27561;Saint-Maclou;CHAR;5
CODGEO;Code géographique;Code géographique;27562;Saint-Marcel;CHAR;5
CODGEO;Code géographique;Code géographique;27563;Saint-Mards-de-Blacarville;CHAR;5
CODGEO;Code géographique;Code géographique;27564;Saint-Mards-de-Fresne;CHAR;5
CODGEO;Code géographique;Code géographique;27565;Le Lesme;CHAR;5
CODGEO;Code géographique;Code géographique;27567;Sainte-Marie-de-Vatimesnil;CHAR;5
CODGEO;Code géographique;Code géographique;27568;Sainte-Marthe;CHAR;5
CODGEO;Code géographique;Code géographique;27569;Saint-Martin-du-Tilleul;CHAR;5
CODGEO;Code géographique;Code géographique;27570;Saint-Martin-la-Campagne;CHAR;5
CODGEO;Code géographique;Code géographique;27571;Saint-Martin-Saint-Firmin;CHAR;5
CODGEO;Code géographique;Code géographique;27572;Saint-Meslin-du-Bosc;CHAR;5
CODGEO;Code géographique;Code géographique;27576;Sainte-Opportune-du-Bosc;CHAR;5
CODGEO;Code géographique;Code géographique;27577;Sainte-Opportune-la-Mare;CHAR;5
CODGEO;Code géographique;Code géographique;27578;Sainte-Marie-d'Attez;CHAR;5
CODGEO;Code géographique;Code géographique;27579;Saint-Ouen-de-Pontcheuil;CHAR;5
CODGEO;Code géographique;Code géographique;27580;Saint-Ouen-de-Thouberville;CHAR;5
CODGEO;Code géographique;Code géographique;27582;Saint-Ouen-du-Tilleul;CHAR;5
CODGEO;Code géographique;Code géographique;27584;Saint-Paul-de-Fourques;CHAR;5
CODGEO;Code géographique;Code géographique;27586;Saint-Philbert-sur-Boissey;CHAR;5
CODGEO;Code géographique;Code géographique;27587;Saint-Philbert-sur-Risle;CHAR;5
CODGEO;Code géographique;Code géographique;27589;Saint-Pierre-de-Bailleul;CHAR;5
CODGEO;Code géographique;Code géographique;27590;Saint-Pierre-de-Cernières;CHAR;5
CODGEO;Code géographique;Code géographique;27591;Saint-Pierre-de-Cormeilles;CHAR;5
CODGEO;Code géographique;Code géographique;27592;Saint-Pierre-de-Salerne;CHAR;5
CODGEO;Code géographique;Code géographique;27593;Saint-Pierre-des-Fleurs;CHAR;5
CODGEO;Code géographique;Code géographique;27594;Saint-Pierre-des-Ifs;CHAR;5
CODGEO;Code géographique;Code géographique;27595;Saint-Pierre-du-Bosguérard;CHAR;5
CODGEO;Code géographique;Code géographique;27597;Saint-Pierre-du-Val;CHAR;5
CODGEO;Code géographique;Code géographique;27598;Saint-Pierre-du-Vauvray;CHAR;5
CODGEO;Code géographique;Code géographique;27599;Saint-Pierre-la-Garenne;CHAR;5
CODGEO;Code géographique;Code géographique;27601;Saint-Samson-de-la-Roque;CHAR;5
CODGEO;Code géographique;Code géographique;27602;Saint-Sébastien-de-Morsent;CHAR;5
CODGEO;Code géographique;Code géographique;27603;Saint-Siméon;CHAR;5
CODGEO;Code géographique;Code géographique;27604;Saint-Sulpice-de-Grimbouville;CHAR;5
CODGEO;Code géographique;Code géographique;27605;Saint-Sylvestre-de-Cormeilles;CHAR;5
CODGEO;Code géographique;Code géographique;27606;Saint-Symphorien;CHAR;5
CODGEO;Code géographique;Code géographique;27608;Saint-Victor-de-Chrétienville;CHAR;5
CODGEO;Code géographique;Code géographique;27609;Saint-Victor-d'Épine;CHAR;5
CODGEO;Code géographique;Code géographique;27610;Saint-Victor-sur-Avre;CHAR;5
CODGEO;Code géographique;Code géographique;27611;Saint-Vigor;CHAR;5
CODGEO;Code géographique;Code géographique;27612;Saint-Vincent-des-Bois;CHAR;5
CODGEO;Code géographique;Code géographique;27613;Saint-Vincent-du-Boulay;CHAR;5
CODGEO;Code géographique;Code géographique;27614;Sancourt;CHAR;5
CODGEO;Code géographique;Code géographique;27615;Sassey;CHAR;5
CODGEO;Code géographique;Code géographique;27616;La Saussaye;CHAR;5
CODGEO;Code géographique;Code géographique;27617;Saussay-la-Campagne;CHAR;5
CODGEO;Code géographique;Code géographique;27618;Sébécourt;CHAR;5
CODGEO;Code géographique;Code géographique;27620;Selles;CHAR;5
CODGEO;Code géographique;Code géographique;27621;Serez;CHAR;5
CODGEO;Code géographique;Code géographique;27622;Serquigny;CHAR;5
CODGEO;Code géographique;Code géographique;27623;Surtauville;CHAR;5
CODGEO;Code géographique;Code géographique;27624;Surville;CHAR;5
CODGEO;Code géographique;Code géographique;27625;Suzay;CHAR;5
CODGEO;Code géographique;Code géographique;27627;Le Theil-Nolent;CHAR;5
CODGEO;Code géographique;Code géographique;27629;Thiberville;CHAR;5
CODGEO;Code géographique;Code géographique;27630;Thibouville;CHAR;5
CODGEO;Code géographique;Code géographique;27631;Thierville;CHAR;5
CODGEO;Code géographique;Code géographique;27632;Le Thil;CHAR;5
CODGEO;Code géographique;Code géographique;27633;Les Thilliers-en-Vexin;CHAR;5
CODGEO;Code géographique;Code géographique;27635;Le Thuit;CHAR;5
CODGEO;Code géographique;Code géographique;27638;Le Thuit de l'Oison;CHAR;5
CODGEO;Code géographique;Code géographique;27640;Tilleul-Dame-Agnès;CHAR;5
CODGEO;Code géographique;Code géographique;27641;Le Tilleul-Lambert;CHAR;5
CODGEO;Code géographique;Code géographique;27643;Tillières-sur-Avre;CHAR;5
CODGEO;Code géographique;Code géographique;27644;Tilly;CHAR;5
CODGEO;Code géographique;Code géographique;27645;Tocqueville;CHAR;5
CODGEO;Code géographique;Code géographique;27646;Le Torpt;CHAR;5
CODGEO;Code géographique;Code géographique;27649;Touffreville;CHAR;5
CODGEO;Code géographique;Code géographique;27650;Tournedos-Bois-Hubert;CHAR;5
CODGEO;Code géographique;Code géographique;27652;Tourneville;CHAR;5
CODGEO;Code géographique;Code géographique;27654;Tourville-la-Campagne;CHAR;5
CODGEO;Code géographique;Code géographique;27655;Tourville-sur-Pont-Audemer;CHAR;5
CODGEO;Code géographique;Code géographique;27656;Toutainville;CHAR;5
CODGEO;Code géographique;Code géographique;27658;Le Tremblay-Omonville;CHAR;5
CODGEO;Code géographique;Code géographique;27659;La Trinité;CHAR;5
CODGEO;Code géographique;Code géographique;27660;La Trinité-de-Réville;CHAR;5
CODGEO;Code géographique;Code géographique;27661;La Trinité-de-Thouberville;CHAR;5
CODGEO;Code géographique;Code géographique;27662;Triqueville;CHAR;5
CODGEO;Code géographique;Code géographique;27663;Le Troncq;CHAR;5
CODGEO;Code géographique;Code géographique;27664;Le Tronquay;CHAR;5
CODGEO;Code géographique;Code géographique;27665;Trouville-la-Haule;CHAR;5
CODGEO;Code géographique;Code géographique;27666;La Vacherie;CHAR;5
CODGEO;Code géographique;Code géographique;27667;Valailles;CHAR;5
CODGEO;Code géographique;Code géographique;27668;Le Val-David;CHAR;5
CODGEO;Code géographique;Code géographique;27669;Valletot;CHAR;5
CODGEO;Code géographique;Code géographique;27670;Vandrimare;CHAR;5
CODGEO;Code géographique;Code géographique;27671;Vannecrocq;CHAR;5
CODGEO;Code géographique;Code géographique;27672;Vascœuil;CHAR;5
CODGEO;Code géographique;Code géographique;27673;Vatteville;CHAR;5
CODGEO;Code géographique;Code géographique;27674;Vaux-sur-Eure;CHAR;5
CODGEO;Code géographique;Code géographique;27677;Venon;CHAR;5
CODGEO;Code géographique;Code géographique;27678;Les Ventes;CHAR;5
CODGEO;Code géographique;Code géographique;27679;Verneuil d'Avre et d'Iton;CHAR;5
CODGEO;Code géographique;Code géographique;27680;Verneusses;CHAR;5
CODGEO;Code géographique;Code géographique;27681;Vernon;CHAR;5
CODGEO;Code géographique;Code géographique;27682;Vesly;CHAR;5
CODGEO;Code géographique;Code géographique;27683;Vézillon;CHAR;5
CODGEO;Code géographique;Code géographique;27684;Le Vieil-Évreux;CHAR;5
CODGEO;Code géographique;Code géographique;27685;La Vieille-Lyre;CHAR;5
CODGEO;Code géographique;Code géographique;27686;Vieux-Port;CHAR;5
CODGEO;Code géographique;Code géographique;27689;Villegats;CHAR;5
CODGEO;Code géographique;Code géographique;27690;Villers-en-Vexin;CHAR;5
CODGEO;Code géographique;Code géographique;27691;Villers-sur-le-Roule;CHAR;5
CODGEO;Code géographique;Code géographique;27692;Villettes;CHAR;5
CODGEO;Code géographique;Code géographique;27693;Sylvains-Lès-Moulins;CHAR;5
CODGEO;Code géographique;Code géographique;27694;Villez-sous-Bailleul;CHAR;5
CODGEO;Code géographique;Code géographique;27695;Villez-sur-le-Neubourg;CHAR;5
CODGEO;Code géographique;Code géographique;27696;Villiers-en-Désœuvre;CHAR;5
CODGEO;Code géographique;Code géographique;27697;Vironvay;CHAR;5
CODGEO;Code géographique;Code géographique;27698;Vitot;CHAR;5
CODGEO;Code géographique;Code géographique;27699;Voiscreville;CHAR;5
CODGEO;Code géographique;Code géographique;27700;Vraiville;CHAR;5
CODGEO;Code géographique;Code géographique;27701;Val-de-Reuil;CHAR;5
CODGEO;Code géographique;Code géographique;28001;Abondant;CHAR;5
CODGEO;Code géographique;Code géographique;28003;Allainville;CHAR;5
CODGEO;Code géographique;Code géographique;28004;Allonnes;CHAR;5
CODGEO;Code géographique;Code géographique;28005;Alluyes;CHAR;5
CODGEO;Code géographique;Code géographique;28006;Amilly;CHAR;5
CODGEO;Code géographique;Code géographique;28007;Anet;CHAR;5
CODGEO;Code géographique;Code géographique;28008;Ardelles;CHAR;5
CODGEO;Code géographique;Code géographique;28009;Ardelu;CHAR;5
CODGEO;Code géographique;Code géographique;28010;Argenvilliers;CHAR;5
CODGEO;Code géographique;Code géographique;28012;Commune nouvelle d'Arrou;CHAR;5
CODGEO;Code géographique;Code géographique;28013;Aunay-sous-Auneau;CHAR;5
CODGEO;Code géographique;Code géographique;28014;Aunay-sous-Crécy;CHAR;5
CODGEO;Code géographique;Code géographique;28015;Auneau-Bleury-Saint-Symphorien;CHAR;5
CODGEO;Code géographique;Code géographique;28016;Les Autels-Villevillon;CHAR;5
CODGEO;Code géographique;Code géographique;28018;Authon-du-Perche;CHAR;5
CODGEO;Code géographique;Code géographique;28019;Baigneaux;CHAR;5
CODGEO;Code géographique;Code géographique;28021;Bailleau-le-Pin;CHAR;5
CODGEO;Code géographique;Code géographique;28022;Bailleau-l'Évêque;CHAR;5
CODGEO;Code géographique;Code géographique;28023;Bailleau-Armenonville;CHAR;5
CODGEO;Code géographique;Code géographique;28024;Barjouville;CHAR;5
CODGEO;Code géographique;Code géographique;28025;Barmainville;CHAR;5
CODGEO;Code géographique;Code géographique;28026;Baudreville;CHAR;5
CODGEO;Code géographique;Code géographique;28027;La Bazoche-Gouet;CHAR;5
CODGEO;Code géographique;Code géographique;28028;Bazoches-en-Dunois;CHAR;5
CODGEO;Code géographique;Code géographique;28029;Bazoches-les-Hautes;CHAR;5
CODGEO;Code géographique;Code géographique;28030;Beauche;CHAR;5
CODGEO;Code géographique;Code géographique;28031;Beaumont-les-Autels;CHAR;5
CODGEO;Code géographique;Code géographique;28032;Beauvilliers;CHAR;5
CODGEO;Code géographique;Code géographique;28033;Belhomert-Guéhouville;CHAR;5
CODGEO;Code géographique;Code géographique;28034;Berchères-Saint-Germain;CHAR;5
CODGEO;Code géographique;Code géographique;28035;Berchères-les-Pierres;CHAR;5
CODGEO;Code géographique;Code géographique;28036;Berchères-sur-Vesgre;CHAR;5
CODGEO;Code géographique;Code géographique;28037;Bérou-la-Mulotière;CHAR;5
CODGEO;Code géographique;Code géographique;28038;Béthonvilliers;CHAR;5
CODGEO;Code géographique;Code géographique;28039;Béville-le-Comte;CHAR;5
CODGEO;Code géographique;Code géographique;28040;Billancelles;CHAR;5
CODGEO;Code géographique;Code géographique;28041;Blandainville;CHAR;5
CODGEO;Code géographique;Code géographique;28045;Boissy-en-Drouais;CHAR;5
CODGEO;Code géographique;Code géographique;28046;Boissy-lès-Perche;CHAR;5
CODGEO;Code géographique;Code géographique;28047;Boisville-la-Saint-Père;CHAR;5
CODGEO;Code géographique;Code géographique;28048;La Bourdinière-Saint-Loup;CHAR;5
CODGEO;Code géographique;Code géographique;28049;Boncé;CHAR;5
CODGEO;Code géographique;Code géographique;28050;Boncourt;CHAR;5
CODGEO;Code géographique;Code géographique;28051;Bonneval;CHAR;5
CODGEO;Code géographique;Code géographique;28052;Bouglainval;CHAR;5
CODGEO;Code géographique;Code géographique;28053;Le Boullay-les-Deux-Églises;CHAR;5
CODGEO;Code géographique;Code géographique;28054;Le Boullay-Mivoye;CHAR;5
CODGEO;Code géographique;Code géographique;28055;Le Boullay-Thierry;CHAR;5
CODGEO;Code géographique;Code géographique;28056;Boutigny-Prouais;CHAR;5
CODGEO;Code géographique;Code géographique;28057;Bouville;CHAR;5
CODGEO;Code géographique;Code géographique;28058;Bréchamps;CHAR;5
CODGEO;Code géographique;Code géographique;28059;Brezolles;CHAR;5
CODGEO;Code géographique;Code géographique;28060;Briconville;CHAR;5
CODGEO;Code géographique;Code géographique;28061;Brou;CHAR;5
CODGEO;Code géographique;Code géographique;28062;Broué;CHAR;5
CODGEO;Code géographique;Code géographique;28064;Bû;CHAR;5
