reg;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel
52;04;2022-02-10;83;21;5;200739.0;0.0;0.0;0.0
52;11;2022-02-10;11143;5840;84;99864.0;11.2;5.8;0.1
52;17;2022-02-10;280756;273367;36702;299007.0;93.9;91.4;12.3
52;24;2022-02-10;306332;302797;200016;301552.0;99.0;99.0;66.3
52;29;2022-02-10;187340;184881;119397;193232.0;97.0;95.7;61.8
52;39;2022-02-10;413111;408296;279139;456089.0;90.6;89.5;61.2
52;49;2022-02-10;456546;453361;349697;487292.0;93.7;93.0;71.8
52;59;2022-02-10;464303;461847;395717;483216.0;96.1;95.6;81.9
52;09;2022-02-10;8646;4361;21;236755.0;3.7;1.8;0.0
52;64;2022-02-10;222281;221222;200459;234328.0;94.9;94.4;85.5
52;69;2022-02-10;217327;216330;200505;228813.0;95.0;94.5;87.6
52;74;2022-02-10;212556;211431;196906;204390.0;99.0;99.0;96.3
52;79;2022-02-10;126842;125969;116797;123318.0;99.0;99.0;94.7
52;80;2022-02-10;229644;226072;197903;253202.0;90.7;89.3;78.2
53;04;2022-02-10;64;17;4;162458.0;0.0;0.0;0.0
53;11;2022-02-10;9644;4971;51;82771.0;11.7;6.0;0.1
53;17;2022-02-10;238935;232474;30696;250818.0;95.3;92.7;12.2
53;24;2022-02-10;269023;265472;179915;260539.0;99.0;99.0;69.1
53;29;2022-02-10;160639;158181;104401;159644.0;99.0;99.0;65.4
53;39;2022-02-10;348548;343849;242786;378200.0;92.2;90.9;64.2
53;49;2022-02-10;396028;392698;309679;424113.0;93.4;92.6;73.0
53;59;2022-02-10;424127;421392;367071;442875.0;95.8;95.1;82.9
53;09;2022-02-10;7793;3923;11;193713.0;4.0;2.0;0.0
53;64;2022-02-10;212238;211115;192939;221005.0;96.0;95.5;87.3
53;69;2022-02-10;205686;204588;190508;215704.0;95.4;94.8;88.3
53;74;2022-02-10;204007;202756;189864;195395.0;99.0;99.0;97.2
53;79;2022-02-10;119773;118898;110820;115507.0;99.0;99.0;95.9
53;80;2022-02-10;219699;216077;188577;237637.0;92.5;90.9;79.4
75;04;2022-02-10;104;24;4;274488.0;0.0;0.0;0.0
75;11;2022-02-10;12372;7067;112;138201.0;9.0;5.1;0.1
75;17;2022-02-10;366883;355923;49041;415182.0;88.4;85.7;11.8
75;24;2022-02-10;434424;426838;273527;448923.0;96.8;95.1;60.9
75;29;2022-02-10;271334;266284;168419;288262.0;94.1;92.4;58.4
75;39;2022-02-10;600724;591065;397682;679104.0;88.5;87.0;58.6
75;49;2022-02-10;689491;682348;519482;757513.0;91.0;90.1;68.6
75;59;2022-02-10;758728;752964;639166;804241.0;94.3;93.6;79.5
75;09;2022-02-10;9720;5195;22;323907.0;3.0;1.6;0.0
75;64;2022-02-10;377437;375078;335669;404276.0;93.4;92.8;83.0
75;69;2022-02-10;378985;376721;345150;405407.0;93.5;92.9;85.1
75;74;2022-02-10;375016;372659;343770;367546.0;99.0;99.0;93.5
75;79;2022-02-10;236670;234725;214905;233838.0;99.0;99.0;91.9
75;80;2022-02-10;412593;405393;350130;459094.0;89.9;88.3;76.3
76;04;2022-02-10;109;32;7;291512.0;0.0;0.0;0.0
76;11;2022-02-10;8036;4822;153;138868.0;5.8;3.5;0.1
76;17;2022-02-10;325207;314001;39256;414113.0;78.5;75.8;9.5
76;24;2022-02-10;418582;409614;245637;471999.0;88.7;86.8;52.0
76;29;2022-02-10;269461;263543;154589;306711.0;87.9;85.9;50.4
76;39;2022-02-10;580263;569166;353244;694345.0;83.6;82.0;50.9
76;49;2022-02-10;655228;646954;465430;740353.0;88.5;87.4;62.9
76;59;2022-02-10;723974;717266;586107;786358.0;92.1;91.2;74.5
76;09;2022-02-10;5822;3134;12;333033.0;1.7;0.9;0.0
76;64;2022-02-10;347866;345201;300097;378662.0;91.9;91.2;79.3
76;69;2022-02-10;341049;338784;304151;375224.0;90.9;90.3;81.1
76;74;2022-02-10;340619;338278;307907;346007.0;98.4;97.8;89.0
76;79;2022-02-10;226747;224801;203907;226463.0;99.0;99.0;90.0
76;80;2022-02-10;370928;363883;310503;421210.0;88.1;86.4;73.7
84;04;2022-02-10;151;62;16;445712.0;0.0;0.0;0.0
84;11;2022-02-10;15509;10049;273;201691.0;7.7;5.0;0.1
84;17;2022-02-10;487382;473210;60796;599021.0;81.4;79.0;10.1
84;24;2022-02-10;599519;591539;355124;649658.0;92.3;91.1;54.7
84;29;2022-02-10;400495;395307;232274;444164.0;90.2;89.0;52.3
84;39;2022-02-10;864980;854470;532767;1005784.0;86.0;85.0;53.0
84;49;2022-02-10;920043;911906;653098;1035354.0;88.9;88.1;63.1
84;59;2022-02-10;966178;958963;778930;1044459.0;92.5;91.8;74.6
84;09;2022-02-10;12203;7261;101;494925.0;2.5;1.5;0.0
84;64;2022-02-10;436614;433860;376672;473708.0;92.2;91.6;79.5
84;69;2022-02-10;410119;407632;366305;452952.0;90.5;90.0;80.9
84;74;2022-02-10;405561;403006;367150;413343.0;98.1;97.5;88.8
84;79;2022-02-10;272619;270507;246003;274019.0;99.0;98.7;89.8
84;80;2022-02-10;440910;433668;371742;497587.0;88.6;87.2;74.7
93;04;2022-02-10;133;53;6;264138.0;0.1;0.0;0.0
93;11;2022-02-10;5594;3651;174;117471.0;4.8;3.1;0.1
93;17;2022-02-10;233397;223451;29643;344616.0;67.7;64.8;8.6
93;24;2022-02-10;326003;316470;172205;368997.0;88.3;85.8;46.7
