dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel
09;11;2022-02-10;206;130;10;3388.0;6.1;3.8;0.3
09;17;2022-02-10;7727;7432;1121;10191.0;75.8;72.9;11.0
09;24;2022-02-10;9089;8895;5386;9110.0;99.0;97.6;59.1
09;29;2022-02-10;5216;5088;3033;6679.0;78.1;76.2;45.4
09;39;2022-02-10;11899;11627;7117;15798.0;75.3;73.6;45.1
09;49;2022-02-10;15129;14880;10824;18797.0;80.5;79.2;57.6
09;59;2022-02-10;18125;17924;14494;21635.0;83.8;82.8;67.0
09;09;2022-02-10;128;51;0;7745.0;1.7;0.7;0.0
09;64;2022-02-10;9793;9690;8346;11336.0;86.4;85.5;73.6
09;69;2022-02-10;9969;9893;8755;11303.0;88.2;87.5;77.5
09;74;2022-02-10;9558;9484;8574;10028.0;95.3;94.6;85.5
09;79;2022-02-10;6312;6257;5532;6375.0;99.0;98.1;86.8
09;80;2022-02-10;10994;10781;8876;13426.0;81.9;80.3;66.1
10;04;2022-02-10;2;1;0;16179.0;0.0;0.0;0.0
10;11;2022-02-10;947;644;3;8186.0;11.6;7.9;0.0
10;17;2022-02-10;19418;18964;2544;23738.0;81.8;79.9;10.7
10;24;2022-02-10;22123;21713;14067;24096.0;91.8;90.1;58.4
10;29;2022-02-10;13657;13413;8680;16549.0;82.5;81.1;52.5
10;39;2022-02-10;29592;29176;19949;36584.0;80.9;79.8;54.5
10;49;2022-02-10;33154;32845;25340;38394.0;86.4;85.5;66.0
10;59;2022-02-10;36376;36152;30954;39551.0;92.0;91.4;78.3
10;09;2022-02-10;741;475;0;18930.0;3.9;2.5;0.0
10;64;2022-02-10;17673;17562;15560;19401.0;91.1;90.5;80.2
10;69;2022-02-10;17591;17468;15940;19343.0;90.9;90.3;82.4
10;74;2022-02-10;17509;17411;16012;17592.0;99.0;99.0;91.0
10;79;2022-02-10;10492;10424;9518;10554.0;99.0;98.8;90.2
10;80;2022-02-10;18174;17877;15182;20810.0;87.3;85.9;73.0
11;04;2022-02-10;4;2;1;16558.0;0.0;0.0;0.0
11;11;2022-02-10;435;227;3;8794.0;4.9;2.6;0.0
11;17;2022-02-10;20081;19397;2629;25657.0;78.3;75.6;10.2
11;24;2022-02-10;23296;22694;13549;22902.0;99.0;99.0;59.2
11;29;2022-02-10;13440;13075;7569;15409.0;87.2;84.9;49.1
11;39;2022-02-10;30859;30176;18586;39384.0;78.4;76.6;47.2
11;49;2022-02-10;38537;37974;27339;45681.0;84.4;83.1;59.8
11;59;2022-02-10;46120;45707;37173;51248.0;90.0;89.2;72.5
11;09;2022-02-10;313;139;0;20110.0;1.6;0.7;0.0
11;64;2022-02-10;23366;23152;20119;26525.0;88.1;87.3;75.8
11;69;2022-02-10;24515;24354;21831;27686.0;88.5;88.0;78.9
11;74;2022-02-10;25012;24824;22556;25828.0;96.8;96.1;87.3
11;79;2022-02-10;16748;16582;14903;16823.0;99.0;98.6;88.6
11;80;2022-02-10;25357;24860;21053;30100.0;84.2;82.6;69.9
12;04;2022-02-10;7;1;0;11791.0;0.1;0.0;0.0
12;11;2022-02-10;361;208;5;6137.0;5.9;3.4;0.1
12;17;2022-02-10;15180;14617;1649;18532.0;81.9;78.9;8.9
12;24;2022-02-10;17589;17286;10240;16356.0;99.0;99.0;62.6
12;29;2022-02-10;9941;9731;5625;11329.0;87.7;85.9;49.7
12;39;2022-02-10;22928;22506;14044;28724.0;79.8;78.4;48.9
12;49;2022-02-10;28377;28030;20191;33377.0;85.0;84.0;60.5
12;59;2022-02-10;34649;34375;28365;39683.0;87.3;86.6;71.5
12;09;2022-02-10;208;110;1;14098.0;1.5;0.8;0.0
12;64;2022-02-10;17875;17760;15663;20219.0;88.4;87.8;77.5
12;69;2022-02-10;18109;18000;16500;20502.0;88.3;87.8;80.5
12;74;2022-02-10;18324;18204;16756;18733.0;97.8;97.2;89.4
12;79;2022-02-10;12044;11952;10984;12213.0;98.6;97.9;89.9
12;80;2022-02-10;23372;23002;19847;26666.0;87.6;86.3;74.4
13;04;2022-02-10;59;23;1;115829.0;0.1;0.0;0.0
13;11;2022-02-10;2272;1481;46;48590.0;4.7;3.0;0.1
13;17;2022-02-10;91180;87155;11267;143381.0;63.6;60.8;7.9
13;24;2022-02-10;132796;128685;69642;166869.0;79.6;77.1;41.7
13;29;2022-02-10;93488;90822;48922;113164.0;82.6;80.3;43.2
13;39;2022-02-10;208161;203054;116349;254362.0;81.8;79.8;45.7
13;49;2022-02-10;226514;222720;149112;256640.0;88.3;86.8;58.1
13;59;2022-02-10;243610;240519;185208;265649.0;91.7;90.5;69.7
13;09;2022-02-10;1653;1009;8;122467.0;1.3;0.8;0.0
13;64;2022-02-10;109891;108766;90000;120563.0;91.1;90.2;74.6
13;69;2022-02-10;100833;99938;86446;115967.0;86.9;86.2;74.5
13;74;2022-02-10;98006;97155;85920;105855.0;92.6;91.8;81.2
13;79;2022-02-10;70988;70319;62059;76830.0;92.4;91.5;80.8
13;80;2022-02-10;108377;106061;87680;128303.0;84.5;82.7;68.3
14;04;2022-02-10;10;2;0;32713.0;0.0;0.0;0.0
14;11;2022-02-10;1606;839;16;16901.0;9.5;5.0;0.1
14;17;2022-02-10;48232;46913;6648;52063.0;92.6;90.1;12.8
14;24;2022-02-10;56897;56107;39201;60987.0;93.3;92.0;64.3
14;29;2022-02-10;35428;34892;23956;34960.0;99.0;99.0;68.5
14;39;2022-02-10;74640;73600;53030;78671.0;94.9;93.6;67.4
14;49;2022-02-10;80940;80222;64391;84964.0;95.3;94.4;75.8
14;59;2022-02-10;85739;85167;74566;89285.0;96.0;95.4;83.5
14;09;2022-02-10;1390;672;2;39456.0;3.5;1.7;0.0
14;64;2022-02-10;42646;42419;38513;45437.0;93.9;93.4;84.8
14;69;2022-02-10;43172;42957;39863;45564.0;94.8;94.3;87.5
14;74;2022-02-10;41262;41022;38276;39971.0;99.0;99.0;95.8
14;79;2022-02-10;24209;24035;22290;23384.0;99.0;99.0;95.3
14;80;2022-02-10;42377;41651;36133;47097.0;90.0;88.4;76.7
15;04;2022-02-10;1;0;0;5285.0;0.0;0.0;0.0
15;11;2022-02-10;231;123;5;2969.0;7.8;4.1;0.2
15;17;2022-02-10;8297;8004;1154;9080.0;91.4;88.1;12.7
15;24;2022-02-10;9020;8921;5958;8091.0;99.0;99.0;73.6
15;29;2022-02-10;5240;5171;3435;5406.0;96.9;95.7;63.5
15;39;2022-02-10;12480;12366;8862;14131.0;88.3;87.5;62.7
15;49;2022-02-10;15399;15299;12208;17202.0;89.5;88.9;71.0
15;59;2022-02-10;19083;18963;16474;21195.0;90.0;89.5;77.7
15;09;2022-02-10;183;100;0;6563.0;2.8;1.5;0.0
15;64;2022-02-10;10283;10207;9172;11135.0;92.3;91.7;82.4
15;69;2022-02-10;10528;10456;9636;11435.0;92.1;91.4;84.3
15;74;2022-02-10;10001;9948;9184;10127.0;98.8;98.2;90.7
15;79;2022-02-10;6336;6285;5772;6453.0;98.2;97.4;89.4
15;80;2022-02-10;12037;11836;10034;13739.0;87.6;86.1;73.0
16;04;2022-02-10;5;1;0;15081.0;0.0;0.0;0.0
16;11;2022-02-10;676;356;7;7841.0;8.6;4.5;0.1
16;17;2022-02-10;20999;20393;2878;23113.0;90.9;88.2;12.5
16;24;2022-02-10;23615;23172;14850;22805.0;99.0;99.0;65.1
16;29;2022-02-10;14516;14204;9172;16488.0;88.0;86.1;55.6
16;39;2022-02-10;32292;31729;21587;37221.0;86.8;85.2;58.0
16;49;2022-02-10;37552;37160;28645;42419.0;88.5;87.6;67.5
16;59;2022-02-10;45213;44890;38729;48767.0;92.7;92.0;79.4
16;09;2022-02-10;566;305;1;18130.0;3.1;1.7;0.0
16;64;2022-02-10;23592;23449;21256;25626.0;92.1;91.5;82.9
16;69;2022-02-10;23699;23564;21876;25227.0;93.9;93.4;86.7
16;74;2022-02-10;22666;22510;21104;22007.0;99.0;99.0;95.9
16;79;2022-02-10;14319;14221;13214;14324.0;99.0;99.0;92.3
16;80;2022-02-10;25748;25327;22027;29131.0;88.4;86.9;75.6
17;04;2022-02-10;14;1;0;26217.0;0.1;0.0;0.0
17;11;2022-02-10;874;443;5;14224.0;6.1;3.1;0.0
17;17;2022-02-10;39255;37889;5008;43133.0;91.0;87.8;11.6
17;24;2022-02-10;45651;44734;27674;41888.0;99.0;99.0;66.1
17;29;2022-02-10;25940;25411;15577;25772.0;99.0;98.6;60.4
17;39;2022-02-10;60656;59537;39135;66631.0;91.0;89.4;58.7
17;49;2022-02-10;72314;71511;53758;78405.0;92.2;91.2;68.6
17;59;2022-02-10;83136;82428;69842;85909.0;96.8;95.9;81.3
17;09;2022-02-10;597;266;3;32589.0;1.8;0.8;0.0
17;64;2022-02-10;44949;44637;40098;47547.0;94.5;93.9;84.3
17;69;2022-02-10;49846;49563;45652;51529.0;96.7;96.2;88.6
17;74;2022-02-10;50411;50131;46714;47920.0;99.0;99.0;97.5
17;79;2022-02-10;31296;31056;28784;30024.0;99.0;99.0;95.9
17;80;2022-02-10;50301;49467;43080;55292.0;91.0;89.5;77.9
18;04;2022-02-10;3;2;0;13630.0;0.0;0.0;0.0
18;11;2022-02-10;642;343;10;6832.0;9.4;5.0;0.1
18;17;2022-02-10;18053;17507;2978;19484.0;92.7;89.9;15.3
18;24;2022-02-10;20197;19842;13154;18426.0;99.0;99.0;71.4
18;29;2022-02-10;11879;11650;7566;13223.0;89.8;88.1;57.2
18;39;2022-02-10;27084;26613;18346;31552.0;85.8;84.3;58.1
18;49;2022-02-10;31147;30788;24136;35301.0;88.2;87.2;68.4
18;59;2022-02-10;38326;38040;32744;41611.0;92.1;91.4;78.7
18;09;2022-02-10;483;233;1;15979.0;3.0;1.5;0.0
18;64;2022-02-10;19782;19684;17731;21471.0;92.1;91.7;82.6
18;69;2022-02-10;19509;19390;17909;21413.0;91.1;90.6;83.6
18;74;2022-02-10;19971;19862;18418;20101.0;99.0;98.8;91.6
18;79;2022-02-10;12577;12470;11531;12438.0;99.0;99.0;92.7
18;80;2022-02-10;21879;21477;18515;24943.0;87.7;86.1;74.2
19;04;2022-02-10;2;0;0;9787.0;0.0;0.0;0.0
19;11;2022-02-10;468;284;5;5142.0;9.1;5.5;0.1
19;17;2022-02-10;13563;13206;2002;15894.0;85.3;83.1;12.6
19;24;2022-02-10;15807;15525;10164;15462.0;99.0;99.0;65.7
19;29;2022-02-10;9279;9092;5806;10380.0;89.4;87.6;55.9
19;39;2022-02-10;20822;20507;14006;24486.0;85.0;83.7;57.2
19;49;2022-02-10;25490;25233;19491;29167.0;87.4;86.5;66.8
19;59;2022-02-10;30275;30081;25407;33019.0;91.7;91.1;76.9
19;09;2022-02-10;270;155;0;12051.0;2.2;1.3;0.0
19;64;2022-02-10;15905;15820;14061;17701.0;89.9;89.4;79.4
19;69;2022-02-10;16211;16112;14597;18195.0;89.1;88.6;80.2
19;74;2022-02-10;16309;16211;14663;16310.0;99.0;99.0;89.9
19;79;2022-02-10;10281;10200;9144;10544.0;97.5;96.7;86.7
19;80;2022-02-10;19551;19160;16128;22198.0;88.1;86.3;72.7
21;04;2022-02-10;9;2;1;25826.0;0.0;0.0;0.0
21;11;2022-02-10;1184;737;10;12159.0;9.7;6.1;0.1
21;17;2022-02-10;31707;30836;4230;38757.0;81.8;79.6;10.9
21;24;2022-02-10;41968;41310;27162;51370.0;81.7;80.4;52.9
21;29;2022-02-10;26933;26462;16855;29584.0;91.0;89.4;57.0
21;39;2022-02-10;55078;54316;36258;62868.0;87.6;86.4;57.7
21;49;2022-02-10;58728;58205;44135;65826.0;89.2;88.4;67.0
21;59;2022-02-10;63601;63190;53039;68688.0;92.6;92.0;77.2
21;09;2022-02-10;1027;539;2;29383.0;3.5;1.8;0.0
21;64;2022-02-10;30837;30671;27129;33480.0;92.1;91.6;81.0
21;69;2022-02-10;29462;29281;26635;32324.0;91.1;90.6;82.4
21;74;2022-02-10;29208;29042;26570;29647.0;98.5;98.0;89.6
21;79;2022-02-10;18219;18059;16430;18184.0;99.0;99.0;90.4
21;80;2022-02-10;31380;30840;26582;34790.0;90.2;88.6;76.4
22;04;2022-02-10;10;2;1;27035.0;0.0;0.0;0.0
22;11;2022-02-10;1824;1037;9;14357.0;12.7;7.2;0.1
22;17;2022-02-10;42582;41267;5299;43994.0;96.8;93.8;12.0
22;24;2022-02-10;44725;44067;30110;36952.0;99.0;99.0;81.5
22;29;2022-02-10;24342;23964;15872;23678.0;99.0;99.0;67.0
22;39;2022-02-10;55717;54951;38911;60806.0;91.6;90.4;64.0
22;49;2022-02-10;67018;66411;52948;72804.0;92.1;91.2;72.7
22;59;2022-02-10;76630;76114;66211;80453.0;95.2;94.6;82.3
22;09;2022-02-10;1401;806;1;33070.0;4.2;2.4;0.0
22;64;2022-02-10;41125;40889;37146;43408.0;94.7;94.2;85.6
22;69;2022-02-10;42096;41856;39036;44297.0;95.0;94.5;88.1
22;74;2022-02-10;42404;42101;39490;40776.0;99.0;99.0;96.8
22;79;2022-02-10;25090;24890;23282;24257.0;99.0;99.0;96.0
22;80;2022-02-10;45703;44901;39288;50299.0;90.9;89.3;78.1
23;04;2022-02-10;2;0;0;4191.0;0.0;0.0;0.0
23;11;2022-02-10;148;100;4;2304.0;6.4;4.3;0.2
23;17;2022-02-10;5891;5672;821;7037.0;83.7;80.6;11.7
23;24;2022-02-10;6580;6488;4350;6260.0;99.0;99.0;69.5
23;29;2022-02-10;3860;3774;2508;4492.0;85.9;84.0;55.8
23;39;2022-02-10;8585;8447;5870;10711.0;80.2;78.9;54.8
23;49;2022-02-10;10931;10781;8469;13371.0;81.8;80.6;63.3
23;59;2022-02-10;14713;14599;12539;17031.0;86.4;85.7;73.6
23;09;2022-02-10;116;67;0;5159.0;2.2;1.3;0.0
23;64;2022-02-10;8489;8440;7586;9821.0;86.4;85.9;77.2
23;69;2022-02-10;8597;8534;7869;9849.0;87.3;86.6;79.9
23;74;2022-02-10;8588;8506;7900;8970.0;95.7;94.8;88.1
23;79;2022-02-10;5106;5057;4631;5131.0;99.0;98.6;90.3
23;80;2022-02-10;10073;9859;8520;11943.0;84.3;82.6;71.3
24;04;2022-02-10;6;1;0;15506.0;0.0;0.0;0.0
24;11;2022-02-10;735;393;9;8549.0;8.6;4.6;0.1
24;17;2022-02-10;21831;21069;3015;25834.0;84.5;81.6;11.7
24;24;2022-02-10;24980;24409;14948;22541.0;99.0;99.0;66.3
24;29;2022-02-10;14393;14032;8443;15932.0;90.3;88.1;53.0
24;39;2022-02-10;33192;32530;21449;39189.0;84.7;83.0;54.7
24;49;2022-02-10;41601;41054;31016;48292.0;86.1;85.0;64.2
24;59;2022-02-10;52784;52237;43902;59110.0;89.3;88.4;74.3
24;09;2022-02-10;522;238;0;19080.0;2.7;1.2;0.0
24;64;2022-02-10;29240;28999;25731;32291.0;90.6;89.8;79.7
24;69;2022-02-10;30178;29950;27295;33389.0;90.4;89.7;81.7
24;74;2022-02-10;30465;30237;27790;30858.0;98.7;98.0;90.1
24;79;2022-02-10;18953;18749;17071;19184.0;98.8;97.7;89.0
24;80;2022-02-10;33210;32502;27865;38638.0;86.0;84.1;72.1
25;04;2022-02-10;15;5;1;29568.0;0.1;0.0;0.0
25;11;2022-02-10;1109;723;16;13811.0;8.0;5.2;0.1
25;17;2022-02-10;32489;31596;3690;41084.0;79.1;76.9;9.0
25;24;2022-02-10;40132;39502;24045;47429.0;84.6;83.3;50.7
25;29;2022-02-10;25936;25463;14795;30431.0;85.2;83.7;48.6
25;39;2022-02-10;53686;52821;32186;67253.0;79.8;78.5;47.9
25;49;2022-02-10;58083;57479;41010;67339.0;86.3;85.4;60.9
25;59;2022-02-10;61082;60616;49264;67781.0;90.1;89.4;72.7
25;09;2022-02-10;851;551;3;33510.0;2.5;1.6;0.0
25;64;2022-02-10;28542;28374;24604;31706.0;90.0;89.5;77.6
25;69;2022-02-10;26941;26775;24061;30203.0;89.2;88.7;79.7
25;74;2022-02-10;27249;27080;24738;28593.0;95.3;94.7;86.5
25;79;2022-02-10;17596;17483;15961;17681.0;99.0;98.9;90.3
25;80;2022-02-10;29612;29212;25070;33060.0;89.6;88.4;75.8
26;04;2022-02-10;6;2;0;27732.0;0.0;0.0;0.0
26;11;2022-02-10;955;663;16;13808.0;6.9;4.8;0.1
26;17;2022-02-10;29907;28973;3682;39847.0;75.1;72.7;9.2
26;24;2022-02-10;35495;34949;20586;34548.0;99.0;99.0;59.6
26;29;2022-02-10;21295;20921;11882;24822.0;85.8;84.3;47.9
26;39;2022-02-10;49546;48818;29348;62462.0;79.3;78.2;47.0
26;49;2022-02-10;55489;54930;38405;65055.0;85.3;84.4;59.0
26;59;2022-02-10;63338;62797;49952;69283.0;91.4;90.6;72.1
26;09;2022-02-10;742;513;6;32309.0;2.3;1.6;0.0
26;64;2022-02-10;29844;29648;25352;33560.0;88.9;88.3;75.5
26;69;2022-02-10;29072;28844;25616;32308.0;90.0;89.3;79.3
26;74;2022-02-10;28776;28559;25843;29997.0;95.9;95.2;86.2
26;79;2022-02-10;19956;19736;17775;19941.0;99.0;99.0;89.1
26;80;2022-02-10;30606;30049;25382;34888.0;87.7;86.1;72.8
27;04;2022-02-10;9;1;0;33179.0;0.0;0.0;0.0
27;11;2022-02-10;1815;1071;13;16746.0;10.8;6.4;0.1
27;17;2022-02-10;44007;42818;6452;48374.0;91.0;88.5;13.3
27;24;2022-02-10;45493;44729;29421;40670.0;99.0;99.0;72.3
27;29;2022-02-10;26358;25893;16478;28567.0;92.3;90.6;57.7
27;39;2022-02-10;64117;63129;42828;73301.0;87.5;86.1;58.4
27;49;2022-02-10;71535;70824;54414;80019.0;89.4;88.5;68.0
27;59;2022-02-10;75634;75129;64193;80762.0;93.7;93.0;79.5
27;09;2022-02-10;1475;875;4;39766.0;3.7;2.2;0.0
27;64;2022-02-10;35800;35604;31984;38454.0;93.1;92.6;83.2
27;69;2022-02-10;33698;33481;30736;36662.0;91.9;91.3;83.8
27;74;2022-02-10;31872;31665;29375;31470.0;99.0;99.0;93.3
27;79;2022-02-10;18569;18416;16859;18731.0;99.0;98.3;90.0
27;80;2022-02-10;29067;28563;24707;33986.0;85.5;84.0;72.7
28;04;2022-02-10;6;1;1;24097.0;0.0;0.0;0.0
28;11;2022-02-10;1123;591;14;11613.0;9.7;5.1;0.1
28;17;2022-02-10;30132;29326;5348;33676.0;89.5;87.1;15.9
28;24;2022-02-10;31992;31465;20486;27514.0;99.0;99.0;74.5
28;29;2022-02-10;18589;18238;11591;20894.0;89.0;87.3;55.5
28;39;2022-02-10;44411;43712;29584;51269.0;86.6;85.3;57.7
28;49;2022-02-10;51044;50554;38877;55770.0;91.5;90.6;69.7
28;59;2022-02-10;54164;53830;46151;57755.0;93.8;93.2;79.9
28;09;2022-02-10;888;459;0;27820.0;3.2;1.6;0.0
28;64;2022-02-10;25046;24907;22559;27002.0;92.8;92.2;83.5
28;69;2022-02-10;23945;23816;21996;26418.0;90.6;90.2;83.3
28;74;2022-02-10;23493;23336;21732;23002.0;99.0;99.0;94.5
28;79;2022-02-10;13864;13749;12760;13878.0;99.0;99.0;91.9
28;80;2022-02-10;24136;23681;20820;28717.0;84.0;82.5;72.5
